# sink age [yr], mass [Msun], accretion rate [Msun/yr]
2.774528951251850799e+02,1.534156120572975450e-02,2.202487286765545841e-05
7.763434906737784331e+02,2.448144267986195055e-02,1.567600695004592987e-05
1.276210441865709299e+03,3.209001672817031470e-02,1.425405724645871551e-05
1.776597504975616630e+03,3.911163908460400795e-02,1.395832842161618716e-05
2.275738138543624245e+03,4.640920220823247649e-02,1.378187229759140001e-05
2.776534205860042221e+03,5.344785133901132357e-02,1.319578141199297117e-05
3.276742927599346785e+03,5.982554285375391717e-02,1.321922630658086632e-05
3.778358936294990144e+03,6.653734002505982958e-02,1.363352479457919514e-05
4.276917569330464175e+03,7.349109503737046023e-02,1.403608789897329602e-05
4.776842238415804786e+03,8.035605416171720528e-02,1.381852799952850742e-05
5.276162871348799854e+03,8.706572059067474445e-02,1.254930975006559452e-05
5.775870689103877339e+03,9.344167528033830994e-02,1.277053423735915929e-05
6.275962827061560347e+03,9.935870169339849900e-02,1.111690601773851483e-05
6.776254490616001931e+03,1.052784408623503309e-01,1.047260941707700045e-05
7.276111691728505320e+03,1.112872384699155615e-01,1.078453072233588085e-05
7.775996142142090321e+03,1.167561766089826730e-01,1.200769085540074124e-05
8.275938859403651804e+03,1.226282334368231780e-01,1.114001436811626680e-05
8.776119253168997602e+03,1.275945398963686528e-01,7.218151812298867834e-06
9.276457864070256619e+03,1.316668460569872801e-01,8.686697540693979341e-06
9.776524079531503958e+03,1.368616528843455971e-01,1.062158234423375355e-05
1.027570723825469031e+04,1.415423583025285648e-01,7.467020750667394124e-06
1.077585683649339262e+04,1.455456344189975104e-01,7.419085291449729544e-06
1.127607858151023902e+04,1.490311045311867311e-01,6.169584674936817031e-06
1.177649287471392017e+04,1.523958036114226311e-01,6.865658374725393254e-06
1.227595530768857134e+04,1.557941822820230748e-01,7.957799730589970241e-06
1.277574236690194812e+04,1.600063703600153320e-01,7.664137373168070783e-06
1.327570449892921715e+04,1.637681718459304547e-01,6.618374955619623148e-06
1.377589793049940818e+04,1.669953151772153865e-01,5.692097203619135570e-06
1.427574338585425539e+04,1.702563647101463518e-01,7.092824599551177112e-06
1.477570963141497850e+04,1.737270129887533432e-01,7.558462218260801960e-06
1.527591970110578404e+04,1.778879029904485154e-01,6.670629426288503597e-06
1.577574353396436345e+04,1.813015449148837333e-01,7.621434143275989878e-06
1.627606986049282568e+04,1.842790751241554781e-01,5.287141326255906382e-06
1.677585179279795557e+04,1.877039964175966080e-01,7.740981851246577644e-06
1.727574227198026711e+04,1.917601476230606783e-01,5.510604823454577639e-06
1.777602996980729222e+04,1.953506980757633293e-01,6.599791174158667340e-06
1.827575082652515266e+04,1.986196500981383117e-01,5.658970457469124360e-06
1.877571906952513746e+04,2.021188530273692052e-01,7.424549672846534470e-06
1.927588570389207598e+04,2.062600090200124581e-01,7.955606100480162868e-06
1.977604992920152654e+04,2.107769640574282122e-01,9.858640445172765082e-06
2.027596127564359995e+04,2.155180260840205420e-01,8.912011185896202142e-06
2.077593210950708090e+04,2.193518765415215510e-01,6.018128613540386224e-06
2.127586131494715664e+04,2.239151597574930985e-01,8.558050507004050927e-06
2.177572754679868012e+04,2.283955633984356137e-01,8.811446799345847014e-06
2.227569457910631172e+04,2.335442086043933441e-01,1.051032050648466679e-05
2.277581531037958484e+04,2.385264347920092731e-01,1.082248345456605226e-05
2.327570862250692517e+04,2.432606776006193405e-01,1.019821356233133886e-05
2.377639442173315911e+04,2.478486647649618957e-01,9.646601683220047685e-06
2.427585900302646769e+04,2.526617666671467921e-01,1.003319466893982589e-05
2.477573309163613885e+04,2.584686291473791142e-01,1.228262728274502266e-05
2.527642016736423102e+04,2.653990292857132949e-01,1.630741796669263333e-05
2.577601559944890687e+04,2.739368560921219831e-01,2.122217940588293911e-05
2.627592678580597203e+04,2.836996962641116227e-01,1.869312982644187951e-05
2.677606737333799174e+04,2.939937287115465536e-01,1.962393900924522261e-05
