# sink age [yr], mass [Msun], accretion rate [Msun/yr]
7.904879592331549247e+02,2.571570434148186951e-02,2.396334815993874255e-05
1.788441399578503933e+03,4.698744716302959840e-02,2.003629142881307090e-05
2.788379124616198624e+03,6.621642542617706129e-02,1.849200579854577827e-05
3.790709457009388643e+03,8.209120125149879654e-02,1.277803050407714776e-05
4.788911785425328162e+03,9.515377424204995993e-02,1.187991770556904745e-05
5.790088630112229112e+03,1.083789105505595235e-01,1.223458812557077797e-05
6.788694123038028920e+03,1.178154446792725601e-01,8.053201283639874024e-06
7.788625440111055468e+03,1.275820291065495604e-01,8.452663783271451188e-06
8.788540214757444119e+03,1.387919774912442783e-01,1.300377903702600729e-05
9.789309877944160689e+03,1.518006960870551814e-01,1.594580750837370966e-05
1.078843587613967975e+04,1.701475617406607854e-01,1.967344403954775223e-05
1.178930112847983401e+04,1.868779523844476542e-01,1.391349631122784734e-05
1.278939641406365809e+04,2.024146048893572247e-01,1.651712819767856520e-05
1.378868248907825728e+04,2.200951319112905979e-01,2.042792630145692442e-05
1.478967940314795123e+04,2.386210603226637250e-01,1.560270476936805907e-05
1.578880630754139383e+04,2.560251960097382207e-01,1.960617411068759329e-05
1.678962148535267261e+04,2.731643764475539249e-01,1.541584070686736335e-05
1.778854243820769261e+04,2.883520355526761891e-01,1.216752319618038397e-05
1.878877203498106974e+04,3.011925230092996064e-01,1.302958903279293271e-05
1.978989915752876186e+04,3.166930862886463971e-01,1.572171982145180100e-05
2.078904234246655324e+04,3.300625152103235371e-01,1.215300447129571970e-05
2.178962661863156245e+04,3.420996469761180547e-01,1.247404123173715719e-05
2.278879679527734334e+04,3.532357643740021702e-01,9.912645057381149621e-06
2.379048296221034616e+04,3.649355038724191314e-01,9.427410670952542440e-06
2.478837594455980070e+04,3.767691516164895504e-01,1.161630924279314844e-05
2.578839692806542007e+04,3.863772445012806367e-01,1.017925292453171308e-05
2.678849992057495911e+04,3.967846269139430060e-01,9.278583284437393747e-06
2.778834939321126149e+04,4.080901535375936473e-01,1.186911908426227166e-05
2.878833774891644134e+04,4.187703864074227011e-01,1.032974217110354739e-05
2.978834517188995233e+04,4.283068507873820097e-01,1.000514015675468826e-05
3.078855316388834763e+04,4.368897912908961123e-01,8.325694051034091686e-06
3.178845571723099783e+04,4.461516860364553860e-01,1.126046736782924940e-05
3.278835719638777664e+04,4.583345531218250835e-01,1.090263663119320908e-05
3.378878406066184834e+04,4.681353972494057269e-01,1.081315469732280210e-05
3.478874274460532615e+04,4.804335208259172263e-01,1.360819457556792025e-05
3.578886108938808320e+04,4.927752912631140902e-01,1.454879234944524841e-05
3.678896697462606244e+04,5.037706686666214573e-01,1.427393516110391294e-05
3.778902239882973663e+04,5.190636673311218585e-01,1.726913542011293545e-05
3.878842194817483687e+04,5.326045465848717742e-01,1.398926413791624218e-05
3.978969723984623852e+04,5.460486536474001840e-01,1.268278439099700464e-05
4.078837596519482031e+04,5.587002929955038333e-01,1.173171125916014357e-05
4.178854199872353638e+04,5.692813142712551677e-01,1.149266888678156587e-05
4.278916255841693783e+04,5.813817363917926917e-01,1.408472025278160664e-05
4.378879882960816758e+04,5.938536991744021165e-01,1.052437648199448794e-05
4.478872459698544117e+04,6.071764091166781396e-01,9.566403322954376148e-06
4.578856063227500272e+04,6.165517956282418055e-01,8.272157063481284933e-06
4.678871971028848930e+04,6.262640470083161714e-01,7.990566547581238327e-06
4.778989278640149132e+04,6.349652418051489056e-01,9.966838925739348459e-06
4.878881131289749464e+04,6.475068361566868047e-01,1.219860614108279548e-05
4.978898293038729753e+04,6.602285766332849359e-01,1.639703043167500124e-05
5.078866552335384040e+04,6.717571373962745174e-01,1.107587229093017281e-05
5.178844310320582736e+04,6.804759267395629196e-01,9.361751019651247396e-06
5.278973042622114735e+04,6.873186403842215242e-01,6.268242059394042026e-06
5.378921518346239463e+04,6.967829898329900296e-01,8.847702204462740833e-06
5.478906430995708070e+04,7.046341732896175269e-01,9.157333202231086183e-06
5.578876841315774072e+04,7.117686391174310456e-01,6.718089481261117768e-06
5.678878704887529602e+04,7.198308872459564522e-01,8.205613546042375001e-06
5.778865195050790498e+04,7.284561427356355257e-01,9.810987007599636378e-06
5.878849478802092926e+04,7.363268183186503224e-01,6.354465160700404486e-06
5.978838196267488092e+04,7.429250154000102135e-01,6.992150932051514889e-06
6.078874057666314911e+04,7.500068434089016689e-01,5.922835626861328029e-06
6.178893169722113089e+04,7.555376003541693919e-01,5.685537957381830987e-06
6.278852368634106097e+04,7.631439747587840383e-01,7.192387449106701219e-06
6.378875611531646427e+04,7.702291600566971708e-01,7.335301160805302034e-06
6.478864687986473291e+04,7.780423371831940438e-01,6.820376292152215136e-06
6.578907240468368400e+04,7.846380610181695747e-01,5.901147572280780740e-06
6.678872910284298996e+04,7.914615880913288271e-01,7.209306961982082929e-06
6.778866328335343860e+04,7.980118199006922541e-01,6.304644520131220953e-06
6.878852245554444380e+04,8.038398621077901263e-01,6.721103919274558358e-06
6.978836021878718748e+04,8.109150932866047157e-01,8.463424215294189368e-06
7.078867675623946707e+04,8.187284312041702705e-01,7.246023945238835862e-06
7.178883622201281833e+04,8.248622086794522579e-01,6.371777891501020918e-06
7.278859445032254735e+04,8.308722406685646877e-01,5.444909864982250269e-06
7.378847932895312260e+04,8.371944339060625184e-01,6.017095582466942816e-06
7.478900234214261582e+04,8.427908197908863253e-01,4.918655079775603733e-06
7.578851787025606609e+04,8.465874470289316278e-01,3.173219583006772404e-06
