# sink age [yr], mass [Msun], accretion rate [Msun/yr]
7.654884072963043582e+04,5.761130001757986951e-01,4.678053565452134493e-06
7.754917730207892600e+04,5.803972192242619066e-01,4.369752229324130183e-06
7.854922866021016671e+04,5.853135445240390533e-01,4.873263080629186561e-06
7.954934112922166241e+04,5.902395401175655199e-01,4.610484238994766448e-06
8.054986251476441976e+04,5.953132636469029570e-01,4.921047732046792550e-06
8.154862886089265521e+04,5.999835843011449565e-01,4.419194945642825750e-06
8.254902533108292846e+04,6.040998857180153170e-01,4.417635366247944784e-06
8.354935680230046273e+04,6.086597034861760402e-01,5.170144052813602231e-06
8.455010891023094882e+04,6.136111757867236394e-01,4.633573846769128979e-06
8.554886222582522896e+04,6.181077652056854443e-01,4.706433754912350831e-06
8.654987843702371174e+04,6.225257112148067096e-01,4.781680345935113846e-06
8.754955624162465392e+04,6.260449048919258797e-01,3.016423439282985702e-06
8.854881362207641359e+04,6.299617191036287478e-01,5.500153888321219348e-06
8.954865256739112374e+04,6.347243655638922233e-01,4.851156036362377216e-06
9.054859373912472802e+04,6.391170106391466099e-01,4.765797821862718942e-06
9.154861165642822743e+04,6.430370703264655097e-01,5.259488145801637787e-06
9.254880967219696322e+04,6.475620969289552775e-01,4.290209814007857336e-06
9.354887766231173009e+04,6.520754001810314948e-01,3.564085408039319169e-06
9.454866206889688328e+04,6.561108871481984295e-01,3.214066866963002922e-06
9.554866695087063999e+04,6.599344723261024726e-01,2.818995757873643537e-06
9.654858892251552606e+04,6.626394361338961980e-01,2.358489768229492245e-06
9.754894547664199490e+04,6.652028113207314464e-01,3.275472173475731802e-06
9.854877020898410410e+04,6.690711595502546460e-01,3.998604673145604582e-06
9.954888803887016547e+04,6.720736704087935109e-01,2.826372316488013486e-06
1.005488540083269036e+05,6.759930998131258306e-01,5.747123726737579652e-06
1.015494894305482158e+05,6.808353776673851110e-01,3.834509763373742525e-06
1.025485583774997067e+05,6.843528547986702515e-01,2.629075985633669982e-06
1.035490825711207581e+05,6.869143159921967667e-01,3.580477635189201896e-06
1.045485448868798994e+05,6.901660328095249319e-01,3.000521215822636589e-06
1.055488929540449608e+05,6.931873180607994733e-01,3.166924158924926819e-06
1.065485289240032871e+05,6.962526728755580319e-01,2.917136548235242655e-06
1.075485355089669902e+05,6.990375456083330885e-01,2.382820570758469036e-06
1.085485906495191302e+05,7.008192867418391314e-01,1.967417428545576580e-06
1.095490025799459108e+05,7.030491531074982703e-01,2.536214195179419678e-06
1.105485366578738904e+05,7.056148146562404300e-01,2.545756060498127055e-06
1.115487730149436975e+05,7.074847631877264620e-01,1.804937222507073940e-06
