# sink age [yr], mass [Msun], accretion rate [Msun/yr]
1.070089953643095441e+03,4.083278774269711447e-02,2.636169084495928322e-05
2.072045701207288403e+03,6.155158659408502264e-02,1.720194663637893097e-05
3.070321942831881188e+03,7.701414195854752731e-02,1.339621673696544338e-05
4.068998495110859949e+03,8.868609527347144639e-02,9.966631720957641345e-06
5.070639298375892395e+03,9.900503993952582127e-02,1.128410060354022391e-05
6.068827859143110800e+03,1.106586186765732838e-01,9.634141465251089970e-06
7.069267082930545257e+03,1.209894565342567174e-01,1.034849580649197572e-05
8.069819681046007645e+03,1.319702990116407570e-01,1.070696711071353596e-05
9.068952339135035800e+03,1.439282789148482455e-01,1.398845176780311433e-05
1.006850373860381114e+04,1.548963054279451357e-01,8.276227331357284209e-06
1.106961160898932212e+04,1.624689787463299284e-01,7.191506752441800127e-06
1.206874754150677472e+04,1.699851996681218669e-01,6.644507560169769095e-06
1.306872584368024218e+04,1.774427302362766024e-01,7.564731345406161891e-06
1.406893247749867987e+04,1.860937268920409005e-01,6.519639950689198188e-06
1.506933082912205828e+04,1.967019981102154924e-01,1.764798768960542524e-05
1.606861855034419204e+04,2.070361276984389320e-01,9.788464507602895673e-06
1.706848962498124820e+04,2.184828471192869215e-01,1.182579090914788293e-05
1.806992522598580035e+04,2.269275910342510860e-01,8.046469641264080569e-06
1.906875961344982352e+04,2.367682791651634089e-01,6.502520092946167604e-06
2.006941998988966589e+04,2.454968412808257727e-01,1.031697720436041375e-05
2.106918378306896921e+04,2.545093515939701456e-01,8.423990726079107552e-06
2.206868761750305566e+04,2.629684827568864458e-01,9.834265216516514807e-06
2.307035613466790892e+04,2.718619701348923834e-01,1.344921248185243848e-05
2.406945928487248966e+04,2.866149675630123572e-01,1.576071885127502611e-05
2.506896972895037470e+04,3.012426320442353478e-01,1.509634973743826172e-05
2.606926841940378654e+04,3.177275376393416395e-01,2.345494789224734228e-05
2.706869462441826909e+04,3.377131324029525872e-01,1.666327785198825663e-05
2.806917632821575171e+04,3.547435185322398987e-01,1.477964561274265794e-05
2.906914036171494081e+04,3.686011357260022825e-01,1.387157938875305599e-05
3.006891765672851034e+04,3.802842791936385525e-01,1.132089114863035935e-05
3.106877200977687608e+04,3.923053064942877421e-01,1.093297152889678367e-05
3.206896819866588339e+04,4.030336610240758399e-01,1.056086712669353569e-05
3.306947201287153439e+04,4.150801746904860257e-01,1.049267816513339141e-05
