# sink age [yr], mass [Msun], accretion rate [Msun/yr]
3.304940708858037510e+02,2.763143910196629027e-02,3.512435811238745237e-05
1.332308876484266193e+03,5.686762937106046994e-02,2.950980052296295949e-05
2.330089141766119155e+03,8.210332173953152624e-02,2.402652618053617095e-05
3.330488782377800362e+03,1.083018757587969616e-01,2.944705857612251333e-05
4.330828299126423190e+03,1.336365643635215317e-01,2.195378876282134527e-05
5.330448082304478703e+03,1.546024897287609223e-01,2.321536274792917499e-05
6.331921934324672293e+03,1.744441633024570171e-01,1.979765188862316061e-05
7.330246015791733043e+03,1.894340523361480455e-01,1.511043393716542550e-05
8.331201803520199974e+03,2.047352864123271887e-01,1.302152619034780030e-05
9.330678324194621382e+03,2.179514980667651980e-01,1.258141044912499881e-05
1.033062447338520178e+04,2.290804864802725715e-01,1.023277091867285868e-05
1.133006863504568355e+04,2.385584300012248415e-01,7.467151216875543562e-06
1.233136868449615395e+04,2.481256505002891188e-01,1.019704494838093861e-05
1.333114398136122509e+04,2.570595771406414265e-01,1.057815485698662857e-05
1.433020909790489168e+04,2.658744755243708791e-01,7.489644578419349039e-06
1.533024082763073966e+04,2.739333596544627492e-01,6.847110757042572729e-06
1.633092765672438327e+04,2.817097377401074354e-01,6.993716502664767964e-06
1.733012777011164508e+04,2.880917283988445599e-01,5.979281842446873899e-06
1.833054745495893076e+04,2.955223090742932213e-01,7.265216011128044354e-06
1.933006934836219079e+04,3.018149049178195376e-01,5.492751134766101634e-06
2.033011556764393026e+04,3.071372210291784532e-01,4.849337994538086005e-06
2.133028999398881570e+04,3.125688526638955023e-01,4.984982455178820632e-06
2.233025503937677422e+04,3.182002665346925219e-01,4.813296335442291893e-06
2.333018909208456898e+04,3.234278070021839868e-01,6.705042899566790449e-06
2.433046307290020923e+04,3.295934112721337628e-01,5.120020217045436611e-06
2.533053988731284335e+04,3.345960092169665279e-01,4.479805190884394994e-06
2.633090795233806784e+04,3.394876386441628147e-01,6.651451355705944798e-06
2.733026106494867417e+04,3.440755681187278592e-01,3.808862581047281134e-06
2.833033052786967164e+04,3.481297120342838891e-01,3.661555257223735732e-06
2.933094408019631373e+04,3.524642330861086914e-01,4.191653604283720330e-06
3.033112721711019913e+04,3.570624043317539020e-01,3.886803668189109384e-06
3.133004783400380620e+04,3.610496998545165703e-01,4.045498301131090352e-06
3.233071812589118417e+04,3.648456990556742108e-01,5.266884532489435680e-06
3.333035022215891513e+04,3.703663002160283990e-01,5.890629688534753175e-06
3.433038800370129320e+04,3.749510152233013205e-01,3.740177194809079370e-06
3.533030230245421262e+04,3.786296438586030932e-01,4.550441901069422757e-06
3.633216122066447861e+04,3.840278331970412573e-01,3.761381254219946582e-06
3.733074268917714653e+04,3.886326367237447621e-01,4.938649747855900288e-06
3.833088201147955260e+04,3.939102327154900829e-01,5.902983787059966347e-06
