# sink age [yr], mass [Msun], accretion rate [Msun/yr]
3.933059386352331057e+04,3.995800702369455837e-01,5.521381773455815573e-06
4.033057222161073878e+04,4.072207377389042149e-01,6.062451055708663328e-06
4.133080873182757932e+04,4.129886714230732170e-01,6.356606335040666106e-06
4.233030136798702733e+04,4.181313963013060797e-01,3.983689426773420750e-06
4.333022506300158420e+04,4.230289971806519000e-01,4.766024852865657219e-06
4.433085026183124864e+04,4.278607674055757149e-01,4.951197140281096698e-06
4.533011011466042692e+04,4.324106086900515455e-01,2.431415780490119721e-06
4.633174080869207683e+04,4.356945015691449652e-01,3.928213551352647409e-06
4.733036537039635732e+04,4.394399869863156449e-01,3.433508559108622293e-06
4.833070587382445956e+04,4.427589167340532650e-01,4.541247659915845919e-06
4.933091074361028586e+04,4.472315554614929578e-01,3.921651414423750481e-06
5.033030113538348814e+04,4.514309362109465429e-01,4.257837128163362295e-06
5.133005421792987181e+04,4.552406121378567705e-01,3.371507311565428988e-06
5.233020714664287516e+04,4.584369299073809412e-01,3.056924444324021078e-06
5.333046988603618956e+04,4.608081065845744395e-01,2.178818848337042008e-06
5.433018270407092496e+04,4.631236852116503155e-01,2.324461614690211814e-06
5.533038878915190435e+04,4.654418198377756055e-01,1.854710846265882757e-06
5.633164141620642476e+04,4.673411937256023441e-01,1.965353662874633200e-06
5.733074999012786429e+04,4.690029784930317969e-01,2.101945257484711532e-06
5.833043850189273508e+04,4.714708452730953514e-01,2.453316817867430555e-06
5.933049879270006204e+04,4.742101797428232568e-01,2.580027517318575492e-06
6.033024045602747356e+04,4.764552962470817721e-01,2.248513026363412048e-06
6.133058989007632772e+04,4.787523587103491018e-01,2.430957963874772615e-06
6.233026199687152985e+04,4.814508725096547925e-01,3.200489973776039776e-06
6.333033246326211520e+04,4.851469683267583544e-01,4.439904411757036179e-06
6.433005274722176546e+04,4.887135838272769206e-01,2.544270474750393030e-06
6.533041253092101397e+04,4.919113822706877026e-01,3.664011314483649195e-06
6.633011491642591136e+04,4.950108538970833805e-01,3.609322555310056496e-06
6.733004512690525735e+04,4.986166696757595718e-01,3.968261604260850395e-06
6.833025585799293185e+04,5.027979289922118733e-01,3.880378498054021935e-06
6.933023268372713937e+04,5.071248617682232451e-01,4.843437105615192723e-06
7.033018687718472211e+04,5.108388894254378698e-01,3.206916040577982574e-06
7.133024113375206070e+04,5.143186290516233994e-01,4.068159161685867831e-06
7.233006970086837828e+04,5.177806766638302083e-01,3.925211165431170129e-06
7.333018113804562017e+04,5.210360546003371951e-01,1.700022077771781021e-06
7.433038589325823705e+04,5.238305567275198804e-01,4.767348235077198404e-06
7.533023628152484889e+04,5.276334790119393547e-01,3.021122920214992097e-06
7.633019993794133188e+04,5.310788023152435144e-01,4.036838947854125975e-06
7.733005802456972015e+04,5.349445361650837505e-01,3.032451696850096967e-06
7.833016829029907240e+04,5.413421226179869761e-01,6.232615695513782361e-06
7.933010386760672554e+04,5.467570219800271802e-01,8.407192286147280313e-06
8.033167290713005059e+04,5.547374041336489148e-01,8.443663719949999480e-06
8.133156419110063871e+04,5.612852850151671680e-01,6.929789546976112408e-06
8.233040607676711807e+04,5.671102691813204588e-01,5.726408062322815851e-06
8.333129931004703394e+04,5.713183792280692730e-01,2.550300481149979370e-06
8.433046414862481470e+04,5.747313639925738515e-01,3.526487686482133316e-06
8.533060003187852271e+04,5.779114816039429003e-01,3.109900022519023616e-06
8.633043504386879795e+04,5.805604314715087089e-01,2.658123418856298686e-06
8.733048532159024035e+04,5.831290241928255291e-01,2.594434168377325600e-06
8.833073012537344766e+04,5.862171835248656260e-01,2.854416912511509308e-06
8.933028409845725400e+04,5.887891624212063801e-01,2.800944416219558475e-06
9.033007003411480400e+04,5.916265854847843064e-01,4.520017071264585684e-06
9.133010367623897037e+04,5.954612568382243731e-01,2.321366625849044518e-06
9.233019487116344681e+04,5.980567927800239936e-01,2.093469964955293333e-06
9.333018345794493507e+04,5.999919780836323602e-01,1.592496250647258693e-06
9.433034308868111111e+04,6.012017441081782820e-01,9.341329629520243871e-07
9.533012056277952797e+04,6.021520356115589445e-01,6.219401876110530747e-07
9.633036088045287761e+04,6.028342964604230803e-01,5.391523239623927100e-07
9.733021004708460532e+04,6.033466254523230932e-01,4.727386248588177908e-07
9.833050846054463182e+04,6.038338864990556720e-01,5.620471871738315361e-07
9.933023045803629793e+04,6.043248550387914086e-01,4.793164351682768776e-07
1.003302980839890224e+05,6.049479761810755418e-01,4.554278527401159349e-07
1.013300498486854922e+05,6.053454348483437997e-01,4.647728722466035189e-07
1.023303776562431885e+05,6.057086918294554145e-01,1.606692228033924918e-07
1.033300742141663650e+05,6.059649324412583749e-01,3.727453427504121009e-07
1.039300626689781930e+05,6.061432319478700093e-01,1.975073204872265786e-07
1.044301485409489542e+05,6.061898765910975762e-01,4.596655223381568289e-08
1.049300700879857613e+05,6.062125212498895577e-01,7.186443494715949454e-08
1.054307824985130283e+05,6.062476430240124614e-01,4.404458240823384273e-08
