# sink age [yr], mass [Msun], accretion rate [Msun/yr]
6.616103945464672051e+02,3.275657529513217869e-02,2.339873202254121130e-05
1.661527868999073689e+03,5.382630153648509247e-02,1.758584607418388693e-05
2.661851301647630407e+03,7.236073064345198425e-02,1.598377443066473702e-05
3.661907155673288344e+03,8.275163154558425049e-02,7.305921617480721445e-06
4.662095276895280222e+03,9.320863322680447705e-02,1.559601471095222814e-05
5.661632368913307801e+03,1.106045918827555236e-01,1.992640390089674921e-05
6.661786484807681518e+03,1.255143530007039876e-01,1.348965248621392284e-05
7.661683097766093852e+03,1.359501948326455600e-01,6.823664323185531407e-06
8.661561754411413858e+03,1.459243792602507861e-01,1.805010379454699120e-05
9.661375599385395617e+03,1.613590053666794366e-01,8.508982600450827952e-06
1.066147281049567027e+04,1.685320863566765193e-01,8.314898000340905510e-06
1.166136816062554317e+04,1.757580220469796284e-01,4.917379126151053513e-06
1.266234016564113881e+04,1.792391555525031099e-01,4.800807081743242201e-06
1.366146353708189235e+04,1.890752246944095438e-01,1.117282515744068803e-05
1.466225615305781321e+04,2.004095100529560414e-01,6.784983491246688800e-06
1.566183728606431760e+04,2.098811822503327817e-01,8.111312268985291368e-06
1.666168852084192986e+04,2.179915238629135388e-01,1.073594842359161354e-05
1.766188573481537969e+04,2.294532259947025532e-01,1.207310318677859776e-05
1.866141444809101449e+04,2.390298918268050909e-01,8.395888787681273294e-06
1.966286451203816978e+04,2.487146253473707103e-01,7.232197767651242157e-06
2.066139456312679613e+04,2.559655340632290277e-01,7.174766866015766867e-06
2.166158277196614290e+04,2.619639097428254626e-01,4.960363449514225073e-06
2.266147234411266982e+04,2.670308571647908025e-01,4.323226329399753459e-06
2.366142775004776195e+04,2.723498610484101912e-01,5.143828209885426342e-06
2.466190312132510007e+04,2.776525115509582142e-01,4.953902963877963167e-06
2.566135852913133203e+04,2.871001062515529112e-01,1.198203257925722562e-05
2.666160131896017265e+04,2.953967227569850862e-01,6.750254083911274433e-06
2.766149449901661137e+04,3.010530578017000525e-01,5.420600556133806786e-06
2.866141063587161989e+04,3.069266962399078147e-01,5.918478257482817639e-06
2.966131092263630489e+04,3.170788015363141255e-01,1.299618435905746175e-05
3.066132617818151994e+04,3.261793739867403508e-01,8.729453482290852953e-06
3.166168107983793379e+04,3.338691335248450964e-01,4.595897476172188315e-06
3.266252817774170035e+04,3.402718857809074460e-01,7.205706858165461526e-06
3.366209087541038753e+04,3.461619841718511781e-01,4.540658617067060143e-06
3.466246104947603453e+04,3.509853175360340694e-01,3.716206717740110077e-06
3.566159818052265473e+04,3.538488822671820855e-01,3.018120392212940081e-06
3.666138312696290814e+04,3.582733044559406888e-01,3.489872258305480937e-06
3.766222297340163641e+04,3.621665760542901458e-01,3.452122676602742760e-06
3.866170556040058727e+04,3.656862422903345289e-01,5.505671185844366114e-06
3.966134242197163985e+04,3.700149485127525173e-01,4.122654020872898797e-06
4.066161395622223063e+04,3.736235742716905728e-01,2.330268847632998436e-06
4.166167632074801804e+04,3.764271635870557464e-01,2.550597308693209816e-06
4.266176056171083474e+04,3.785305395893553970e-01,1.733851352809286789e-06
4.366152340202246705e+04,3.812676742340360136e-01,3.047406557363458238e-06
4.466241737807657046e+04,3.836851828607472092e-01,2.376744040463469460e-06
4.566150241111591458e+04,3.865011534353192113e-01,2.114129595106673323e-06
4.666156709898278496e+04,3.884720353630010670e-01,1.970444978947796105e-06
4.766184182098044403e+04,3.903438427819321821e-01,2.039189533699619500e-06
4.866157172020170401e+04,3.921798650491709615e-01,1.834493125414888084e-06
4.966130025461862533e+04,3.944073161578908193e-01,2.024037344916865266e-06
5.066232732264460356e+04,3.967107645446055764e-01,1.987381336904930906e-06
5.166149507446563803e+04,3.989152628954152346e-01,2.279868502910210870e-06
5.266274507323594298e+04,4.013027002793412290e-01,2.959347052949173884e-06
5.366185855108043324e+04,4.044111767078560349e-01,2.880924613887867608e-06
5.466160369469362922e+04,4.070553648771514932e-01,2.184834437666226259e-06
5.566174411546000920e+04,4.094929946592116843e-01,2.537347506279766934e-06
5.666158800367687218e+04,4.123142907616719199e-01,3.476178683994770452e-06
5.766170155527894531e+04,4.161188172272733410e-01,4.703969143889704524e-06
5.866177024345699465e+04,4.205898767680836814e-01,3.535199295398583352e-06
5.966381418332074099e+04,4.238258778271450922e-01,3.405854586429994668e-06
6.066268727323724306e+04,4.266561464459746600e-01,2.859314077266385951e-06
6.166182739451073576e+04,4.293139529743504879e-01,2.107646472244983915e-06
6.266219946447407710e+04,4.320252669351556940e-01,2.607760320723004344e-06
6.366166148661858460e+04,4.351069238186111021e-01,2.201502905330079279e-06
6.466131861830045818e+04,4.371256168756743610e-01,1.678858277675675942e-06
6.566157392366524437e+04,4.387557986891775785e-01,1.324012110684013449e-06
