# sink age [yr], mass [Msun], accretion rate [Msun/yr]
3.763004684316103976e+02,2.422570025965149407e-02,3.534404669713185783e-05
1.377656347718005918e+03,5.049308451923938817e-02,2.119230840906462677e-05
2.376584434005524145e+03,6.963793987540901897e-02,1.656883730937169352e-05
3.376102848850257942e+03,8.150841032721140023e-02,1.042928464327613075e-05
4.378623985179123338e+03,9.417622537945484484e-02,1.121887733990559969e-05
5.378124165496717978e+03,1.084849010031320032e-01,1.360265892737136210e-05
6.377457900559693371e+03,1.205229709504769681e-01,1.096175725178100743e-05
7.376295236439350447e+03,1.308081202422817224e-01,8.969481051237745452e-06
8.376415060720260954e+03,1.416358084280529284e-01,1.162308262013457723e-05
9.376146644640859449e+03,1.520637022234801738e-01,8.791981689616388228e-06
1.037621661960713027e+04,1.624070854006985087e-01,9.897570054368757392e-06
1.137730329924343096e+04,1.733078628701698876e-01,1.203218569963083930e-05
1.237643525296805819e+04,1.883763852364567504e-01,1.590364019315136657e-05
1.337604147692634069e+04,2.003067709019459852e-01,1.191503407156624395e-05
1.437621708045573359e+04,2.109160373960096702e-01,9.780652243069915680e-06
1.537608638260722546e+04,2.208503559793089377e-01,1.258117216410264277e-05
1.637599618286517943e+04,2.333248910738497939e-01,1.331220616218272736e-05
1.737641806463077592e+04,2.426816306254657440e-01,8.897706879398012761e-06
1.837627334370194149e+04,2.554408610502854060e-01,1.550501007700137539e-05
1.937641660145649075e+04,2.676047906177858593e-01,8.797906290972015014e-06
2.037655940456092503e+04,2.756664665797286529e-01,6.779663910939622354e-06
2.137793657591133524e+04,2.833847521197491726e-01,7.801468319612028454e-06
2.237618026557081976e+04,2.910681029591533631e-01,7.473229778916408439e-06
2.337642804368818179e+04,2.997041722693513655e-01,9.869648809077017151e-06
2.437604055235821943e+04,3.078122497442797867e-01,9.126795941849681626e-06
2.537606554994483668e+04,3.180983224275997778e-01,9.930871847497416832e-06
2.637661648771626642e+04,3.263297758994926356e-01,8.558433062697337612e-06
2.737589622819397846e+04,3.351455840461183833e-01,8.361368599980965183e-06
2.837603177778768077e+04,3.446562050771835861e-01,8.645027779012864205e-06
2.937594263311104078e+04,3.525675259946117746e-01,9.360151802341020594e-06
3.037611615906217048e+04,3.618122175908918825e-01,9.239563119989302464e-06
3.137593920034592156e+04,3.706065964666700463e-01,1.018885812776237562e-05
3.237621092638009577e+04,3.811818725463246849e-01,1.132289422176762164e-05
3.337591846785266534e+04,3.918031347458148517e-01,1.115694755477250610e-05
3.437596420465999108e+04,4.024153047399652294e-01,8.598349545822260576e-06
3.537599217461710214e+04,4.109972385420533891e-01,7.763223790291460397e-06
3.637605190237677743e+04,4.189355039301142503e-01,6.880140918739258149e-06
3.737595782245967712e+04,4.277667705153641586e-01,1.091272668696241510e-05
3.837612629833179381e+04,4.351118978970814899e-01,7.388005721020978606e-06
3.937594725583265972e+04,4.419677643541785050e-01,8.446217208551553418e-06
4.037592927225822496e+04,4.490240406342842494e-01,8.778002042845577807e-06
4.137627503557417367e+04,4.545759971520524356e-01,4.304330631903913185e-06
4.237641964099556935e+04,4.582252371706967975e-01,2.420500381213400165e-06
4.337593347259870643e+04,4.610226201259811085e-01,2.726038080134302044e-06
4.437616793780912849e+04,4.645249722627847744e-01,2.917983086998376246e-06
4.537602258502697805e+04,4.681111683823410696e-01,4.455546843287663122e-06
4.637616557737717812e+04,4.716741646302964885e-01,2.838176124930844729e-06
4.737660793074456160e+04,4.747863608700585991e-01,2.591165071530801556e-06
4.837625495473697811e+04,4.780540073005991597e-01,3.491321967371164431e-06
4.937600070305947884e+04,4.812957412114898248e-01,2.038280726146968896e-06
5.037594381757765223e+04,4.843075566259967824e-01,2.926603593181829888e-06
5.137702208849060116e+04,4.878373731411444481e-01,4.319655560984861364e-06
5.237666566858062288e+04,4.921974173885435566e-01,4.763365021120610776e-06
5.337632427558241761e+04,4.973054155176528934e-01,6.772457856440202567e-06
5.437640495313875726e+04,5.035418853403733630e-01,6.958853308191084719e-06
5.537589905699985684e+04,5.091813821628822234e-01,4.327590100227513004e-06
5.637682632090835250e+04,5.137477123893008368e-01,4.160068839620650188e-06
5.737629065877084213e+04,5.181312403901010555e-01,5.802876534811811371e-06
5.837725219024144462e+04,5.227751411121802638e-01,4.178706601872580334e-06
5.937614020541236096e+04,5.271162044052288831e-01,4.082720082916341947e-06
6.037608782390640408e+04,5.333361294353334836e-01,6.586523008911618349e-06
6.137616354671584122e+04,5.384973653459892429e-01,5.766754908321115175e-06
6.237602421530125866e+04,5.438707169736662905e-01,4.778378509731357610e-06
6.337604521318461047e+04,5.481247333987907533e-01,3.707301063470957309e-06
6.437619950467554736e+04,5.518113675366124182e-01,3.696961902212043266e-06
6.537618956059644552e+04,5.556913674024163141e-01,5.009262579062923049e-06
6.637645740892100730e+04,5.592310061883076777e-01,4.021140402292976146e-06
6.737616525742583326e+04,5.635538112786229181e-01,4.328129455718771751e-06
6.837600489542906871e+04,5.675644901237549833e-01,3.515307306181745389e-06
6.937609680600302818e+04,5.711558019368561112e-01,5.105803509512004540e-06
7.037609199273538252e+04,5.773554739736460606e-01,5.968904510580009398e-06
7.137589880907513725e+04,5.824139910054547675e-01,5.803385045308109141e-06
7.237612395037096576e+04,5.873480429522883739e-01,4.387928482903202809e-06
7.337649546451412607e+04,5.919904022807181976e-01,5.396121167010846376e-06
7.437588943630539870e+04,5.983220560716223657e-01,6.012854384574491812e-06
7.537613747193866584e+04,6.038537101030219123e-01,4.404232196442581931e-06
7.637600108469392580e+04,6.086043588228416956e-01,4.583260889309999364e-06
7.737597552903574251e+04,6.125755773384227165e-01,4.695637604973899870e-06
7.837627046579959278e+04,6.178000372554660613e-01,6.544271971593070697e-06
7.937616624906603829e+04,6.233806830445552949e-01,3.691826956728899711e-06
8.037613894254196202e+04,6.273245360784583946e-01,5.375762189212523329e-06
8.137603929963211704e+04,6.322709823668685170e-01,5.332870179396240889e-06
8.237647946925275028e+04,6.368006470472643565e-01,4.172206116042839752e-06
8.337597558406239841e+04,6.412839148381096477e-01,4.652060141381413050e-06
8.437666153329156805e+04,6.457201408929928999e-01,4.400078754138083553e-06
8.537646031440587831e+04,6.503952720140694366e-01,4.517741041883127640e-06
8.637596534498571418e+04,6.552397062951882400e-01,4.142302028559228383e-06
8.737602334221098863e+04,6.592550069214456743e-01,3.300321448549119879e-06
8.837600324701971840e+04,6.628024406987151895e-01,3.142552572166708470e-06
