# sink age [yr], mass [Msun], accretion rate [Msun/yr]
1.337414520656514214e+05,7.129741520296160040e-01,1.151387439454970921e-05
1.347417310026517371e+05,7.218959569521360420e-01,6.877548674791116035e-06
1.357416736524215958e+05,7.283701960318983426e-01,6.264546485265209269e-06
1.367414639551480650e+05,7.357053247873636126e-01,8.260342550883443408e-06
1.377414206809256866e+05,7.447550725634282109e-01,9.584182141677589917e-06
1.387414987037823594e+05,7.562653355609382233e-01,9.121508896675189354e-06
1.397415866812055756e+05,7.686513549159502690e-01,1.069089569125493758e-05
1.407415600241740758e+05,7.785539390265129311e-01,1.029117226990922118e-05
1.417414223023279046e+05,7.860534489165466043e-01,7.031662281764376743e-06
1.427413457190512272e+05,7.932764345170368880e-01,7.339386479589087020e-06
1.437421973022108723e+05,8.034463877402391319e-01,7.821592599811105773e-06
1.447415432892291865e+05,8.151948490965256200e-01,1.151559130761238559e-05
1.457418097840634582e+05,8.283487235118456304e-01,1.380529525439426475e-05
1.467416939788733725e+05,8.371291253327457493e-01,9.282507803613608555e-06
1.477414882345609949e+05,8.462545196345075960e-01,1.090920492411839166e-05
1.487416999764904904e+05,8.543519172399688388e-01,8.636183109906811484e-06
1.497415414349131170e+05,8.626385926261436188e-01,8.222296927012061329e-06
1.507420659852661192e+05,8.731384736207487007e-01,1.210129384386377654e-05
1.517414242443927214e+05,8.843914515328568093e-01,8.023470782445377147e-06
1.527414184673148848e+05,8.927931019077839370e-01,8.356684118952621698e-06
1.537416269196421199e+05,9.014748039686025782e-01,1.222107550594674075e-05
1.547417732123827154e+05,9.123248738581878348e-01,1.154726931473868540e-05
1.557417977693158027e+05,9.225147766580285014e-01,1.161663367608284370e-05
1.567417080591357080e+05,9.332533505482208946e-01,9.663778583017534896e-06
1.577416615526483511e+05,9.408979737325655623e-01,8.420624112693252117e-06
1.587414313346426643e+05,9.498604292783715541e-01,9.114090900709005683e-06
1.597416570945430722e+05,9.585189840256472804e-01,7.380881551654998318e-06
1.607415501362355135e+05,9.650836335523195197e-01,6.099334002185145820e-06
1.617413869085722836e+05,9.716979764623544513e-01,7.845023141200141437e-06
1.627415990719238762e+05,9.778720718382754029e-01,6.223896078955473699e-06
1.637418155994929839e+05,9.839259044749937289e-01,4.792321730832531422e-06
