# sink age [yr], mass [Msun], accretion rate [Msun/yr]
7.454595513660118513e+02,2.805566691312638000e-02,1.614707875255753144e-05
1.743192201358639750e+03,4.297813470680588582e-02,1.215754787310598540e-05
2.743924905007585039e+03,5.479136207231545541e-02,1.234183987142254031e-05
3.744837182252319508e+03,6.508094611062277546e-02,8.849017796546310068e-06
4.743611029149778005e+03,7.542055741639111521e-02,9.725881594946220784e-06
5.742035574609763898e+03,8.475110698187961200e-02,7.944682305231591524e-06
6.742055583203449714e+03,9.146717262551246064e-02,8.114046780916147044e-06
7.741345366612910766e+03,9.836062905726911110e-02,5.422149985332466032e-06
8.741850001642640564e+03,1.039136648611899832e-01,5.546592790568196339e-06
9.741877316076233910e+03,1.096873090056345590e-01,5.312431700342837813e-06
1.074329522916338829e+04,1.159391706821075591e-01,5.567632416157361486e-06
1.174334240180010056e+04,1.220113616914850901e-01,5.327662932552560716e-06
1.274165418040594705e+04,1.276703980648990211e-01,5.696465063922614980e-06
1.374153353832783068e+04,1.325075937180582031e-01,3.856585402764998484e-06
1.474141709529211221e+04,1.362870271346318107e-01,3.392081505222666570e-06
1.574211082163737774e+04,1.396649239532250786e-01,3.662238894515910947e-06
1.674158909366498483e+04,1.437989130477642097e-01,3.636040938039203710e-06
1.774235122918935667e+04,1.477210851031131034e-01,3.550740999199992858e-06
1.874190853169884576e+04,1.510628265268243176e-01,3.549819764756662575e-06
1.974158851369718468e+04,1.554251017785165390e-01,3.589511973566537374e-06
2.074178497136786245e+04,1.588277921804020498e-01,3.499363434972886829e-06
2.174379039701170041e+04,1.624915476166584882e-01,2.935735463079026594e-06
2.274172642445006932e+04,1.656872918555330754e-01,3.306177955039388272e-06
2.374180894821888796e+04,1.684838254923943790e-01,2.625056475249847032e-06
2.474185849540169147e+04,1.712965298114263735e-01,2.887465581451567100e-06
2.574136579962291580e+04,1.738729617947256112e-01,2.321578204613427253e-06
2.674133759662277225e+04,1.765535635423904903e-01,2.684614762061762749e-06
2.774157347086596201e+04,1.794394989399375473e-01,2.507410371460562677e-06
2.874232947723315738e+04,1.820065241434581649e-01,3.229441778550366099e-06
2.974137389705729220e+04,1.850039476468553212e-01,1.994190017954125017e-06
3.074331457070222677e+04,1.877179358778607865e-01,2.769692212602247253e-06
3.174143395644422344e+04,1.904538824681215603e-01,2.875984016667576006e-06
3.274212165257334345e+04,1.930508694304936823e-01,2.279438774835905457e-06
3.374300704811907781e+04,1.954480551882180062e-01,2.692501958419376770e-06
3.474159712323233543e+04,1.976372516869797091e-01,2.101376957375916676e-06
3.574156178128982719e+04,1.995193431489069025e-01,1.814899283330466753e-06
3.674210741752139438e+04,2.014564419788144600e-01,2.660408217309813764e-06
3.774134893829123030e+04,2.038154169505328184e-01,2.055597031451559392e-06
3.874145332439435151e+04,2.058980721708556505e-01,1.846162416400867062e-06
3.974184374128207128e+04,2.077206830201762389e-01,1.629858974362295362e-06
4.074147284838437918e+04,2.101288868099935869e-01,2.284032172852239542e-06
4.174256899061772128e+04,2.128962458677221559e-01,1.972226196218698074e-06
4.274143257110821287e+04,2.151892464404141225e-01,2.268110341663472085e-06
4.374136601300822076e+04,2.174927811166280089e-01,1.963105814948391467e-06
4.474141011834277742e+04,2.198713005304764878e-01,2.141461941721411674e-06
4.574133632743020280e+04,2.218544115709554787e-01,1.512117413656009074e-06
4.674162542613781989e+04,2.233313812124195497e-01,1.384182161926275634e-06
4.774161697231604921e+04,2.247792545875351988e-01,1.446961045623940470e-06
4.874162954280428676e+04,2.263579429398294429e-01,1.852924211142182448e-06
4.974170268457341444e+04,2.281812868007520867e-01,1.894137244960302641e-06
5.074226160252959380e+04,2.299338629382769728e-01,1.871382114647076114e-06
5.174193801147679187e+04,2.324130092824427118e-01,3.234999157471132175e-06
5.274152034067729255e+04,2.359948446891089457e-01,2.369701329509336582e-06
5.374140935188941512e+04,2.382437521979651474e-01,2.062365179088298042e-06
5.474141651445218304e+04,2.406081287635968569e-01,2.565073586391266452e-06
5.574143366692276322e+04,2.429239412019617572e-01,3.017070660358981207e-06
5.674210282852697856e+04,2.463457831467565085e-01,3.268105090103350444e-06
5.774142241783568170e+04,2.492595936688158931e-01,2.983059480554401538e-06
5.874157181968964142e+04,2.524000735197158840e-01,3.252923536156866746e-06
5.974271213933110994e+04,2.557651251059515629e-01,3.130959831860536183e-06
6.074141768521539780e+04,2.594252097286883774e-01,3.411302081113851484e-06
6.174224129272319988e+04,2.626794889849520809e-01,2.666922021263068085e-06
6.274160577542722604e+04,2.656855950522654664e-01,3.367878922339853295e-06
6.374252459781858488e+04,2.689824424191384344e-01,2.890054729583028947e-06
6.474174626948959485e+04,2.719519339090575305e-01,2.687452563774781963e-06
6.574183415608700307e+04,2.745778029997885117e-01,2.436939556613258034e-06
6.674185174156872381e+04,2.769910450583691897e-01,1.819172054766610494e-06
6.774149810065349448e+04,2.790942444217555662e-01,2.761334562178087773e-06
6.874138375964300940e+04,2.817089043264834336e-01,2.419797561980466943e-06
6.974245221796231635e+04,2.841968143725719376e-01,3.198117937868935612e-06
7.074280562329187524e+04,2.877043843303731530e-01,4.810704520985661578e-06
7.174405647944334487e+04,2.921910296071111302e-01,3.220916304862457211e-06
7.274211586923107097e+04,2.955420506635719202e-01,4.576988022478561263e-06
7.374163720673696662e+04,3.004146555599638835e-01,4.877414442388096696e-06
7.474328543668726343e+04,3.053299176022340466e-01,4.197885207949314176e-06
7.574161439498161781e+04,3.107143293102816450e-01,4.757428236383835427e-06
7.674237643577213748e+04,3.159919817401244391e-01,4.496588686483124833e-06
7.774271901318406162e+04,3.212288789290145830e-01,6.655178816612067338e-06
7.874272078232937201e+04,3.273299818563349950e-01,4.989683221269438501e-06
7.974209378071168612e+04,3.330094749469420523e-01,6.179551380587275378e-06
8.074247849165913067e+04,3.390582274394154938e-01,7.839387696930268448e-06
8.174180270404252224e+04,3.453644070809075428e-01,6.595950447190867399e-06
8.274269656456813391e+04,3.509627446123616545e-01,4.322490661242718579e-06
8.374213871658274729e+04,3.563700491163087070e-01,5.124296795780240721e-06
8.474147119237785228e+04,3.611369759232552212e-01,4.282244958029104986e-06
8.574198044662247412e+04,3.659331729011750522e-01,5.010928725600284281e-06
8.674187055300326028e+04,3.711381001327125895e-01,4.368986963664911807e-06
8.774156588261894649e+04,3.756783877227558022e-01,4.319754292075438790e-06
8.874157767711463384e+04,3.805929630639746652e-01,4.144356987156394903e-06
8.974156276256962155e+04,3.861416387350965485e-01,5.456401616376910929e-06
9.074146354838654224e+04,3.935932291849903453e-01,9.574388736621926299e-06
9.174169078275289212e+04,4.003617941137259661e-01,5.217916140336838898e-06
9.274170196351699997e+04,4.055439994176566754e-01,5.942539366209781404e-06
9.374220748603428365e+04,4.099068618966731914e-01,3.076074848123219047e-06
9.474180272208160022e+04,4.148922521383741069e-01,5.823228790956518769e-06
9.574218154124447028e+04,4.213620696695369316e-01,6.987827570266620658e-06
9.674160064191966376e+04,4.283397916652803006e-01,5.948513777221699217e-06
9.774219371711535496e+04,4.352279673709376073e-01,7.190300521524133071e-06
9.874162110562992166e+04,4.416099694994348179e-01,4.524994459608952524e-06
9.974223195513006067e+04,4.486009190361301413e-01,8.340892363366703838e-06
1.007437505219576851e+05,4.558236493155007341e-01,6.306678406453603003e-06
1.017414003328395047e+05,4.626825693268270534e-01,7.265180546240507242e-06
1.027418288554746396e+05,4.710894780112622193e-01,8.424096187720046813e-06
1.037418357604057237e+05,4.798839853297802716e-01,8.093268968339169950e-06
1.047416053374883340e+05,4.881774119133760470e-01,7.983339108493057307e-06
1.057418154756149597e+05,4.961810027857873062e-01,7.414055940721964860e-06
1.067419245597306872e+05,5.026213271819737205e-01,5.454378617833054860e-06
1.077416659864188696e+05,5.085908316593386047e-01,5.622269827985741653e-06
1.087417643977614498e+05,5.156385309769245806e-01,7.675342412623385041e-06
1.097415821087498625e+05,5.245430691348865748e-01,8.067424903582427753e-06
1.107427080190902343e+05,5.315247020167652714e-01,7.055362049635232474e-06
1.117423788153546484e+05,5.384948585034556867e-01,6.544778826542575062e-06
1.127413789445773436e+05,5.463746781098725025e-01,6.774305145194458450e-06
1.137423599216582370e+05,5.534951182195032571e-01,7.418279280612446319e-06
1.147425077933831926e+05,5.606789969186761757e-01,8.814783398026788258e-06
1.157418151727745426e+05,5.698193370703490412e-01,9.832046613259676215e-06
1.167417877608105046e+05,5.793466582733437509e-01,7.922394046000740681e-06
1.177421197602169123e+05,5.878059671025962496e-01,8.189388741631793006e-06
1.187428793695534841e+05,5.955311938289192808e-01,7.483602302762321079e-06
1.197424181701581692e+05,6.027589755448645725e-01,6.182589462061169328e-06
1.207422639162199630e+05,6.098470650780190017e-01,7.919561019832481452e-06
1.217419727726572601e+05,6.180498282133969346e-01,9.779692674616573961e-06
1.227424755583963270e+05,6.298321277988040423e-01,9.737072959152288237e-06
1.237422944820359407e+05,6.389490792441575584e-01,1.025361697312493145e-05
1.247413943169899430e+05,6.484148062464542006e-01,6.722097956145603459e-06
1.257414016260029894e+05,6.540798908464894312e-01,5.578964233097453290e-06
1.267415197175349313e+05,6.606252496704235755e-01,5.315361065150094738e-06
1.277416350247456139e+05,6.668480262982796614e-01,5.858041929881954019e-06
1.287418726181561215e+05,6.724484032243581710e-01,6.673241778536002922e-06
1.297419610641584877e+05,6.793252422748689012e-01,7.841671463316990387e-06
1.307417658424394613e+05,6.867815973040584110e-01,7.656312930891685103e-06
1.317418163332312542e+05,6.939042112858833100e-01,6.664220708114086678e-06
1.327419422202036658e+05,7.033893289924696424e-01,8.739567023400250656e-06
