# sink age [kyr],T_bol face on [K],T_bol edge on A [K],T_bol edge on B [K]
5.493365832758780876e-01,4.186488109042663552e+01,2.982742299929122964e+01,2.914451213681473973e+01
1.549247997719541470e+00,4.550607518520332917e+01,3.232575575394876921e+01,3.774813407215845018e+01
2.548985115761618125e+00,4.129087420321602764e+01,3.566158408659828183e+01,3.315761964377048088e+01
3.549374327452367694e+00,4.802312721153531072e+01,3.286450533388419615e+01,3.273033874578453606e+01
4.550556594611341765e+00,4.345819132403304508e+01,3.543531851607060901e+01,3.494535145890633743e+01
5.548787572087965358e+00,5.470671453826360420e+01,3.332665563107689621e+01,3.510043705811555981e+01
6.548863424398365218e+00,6.903044672498482726e+01,3.335689155055691657e+01,3.465629134175643600e+01
7.548711416016722353e+00,5.693813186695307849e+01,3.278024971799964504e+01,3.368162979525788359e+01
8.549117088586285718e+00,5.138781068731473312e+01,3.274004780074215404e+01,3.460410801139195058e+01
9.548884469281309961e+00,4.508789010937562125e+01,3.543748210921932440e+01,3.763502777879565286e+01
1.054877389308142455e+01,5.278496697410346883e+01,3.698077122845043618e+01,3.955218125931655493e+01
1.154971029557161977e+01,5.810660967928460252e+01,3.748667470706303106e+01,4.006350139646689712e+01
1.254863396007760379e+01,6.509798670431719358e+01,3.916096360665126497e+01,4.237766862324097161e+01
1.354871219952184980e+01,5.493659016310186161e+01,3.800345635675877531e+01,4.195018550778441835e+01
1.454880100210175975e+01,6.240289660821701290e+01,3.729735105470244605e+01,4.099947525919662183e+01
1.554922404757634880e+01,5.791250732599215212e+01,4.058800459631276425e+01,4.292096271344325942e+01
1.654927312900730030e+01,7.121757464633162726e+01,4.469641541787121497e+01,4.512332796838548177e+01
1.754962671061370472e+01,5.966154969058370483e+01,4.390650582543175062e+01,3.936287599749307731e+01
1.854939126184716613e+01,6.926164930216727100e+01,5.151791136655845094e+01,4.504011847493216436e+01
1.954890499272894289e+01,8.210809481040369917e+01,4.261708380487182524e+01,4.490613518434616935e+01
2.054887664438820138e+01,8.695247186964968478e+01,4.520309369870909677e+01,4.578159518619442281e+01
2.154883763907052341e+01,6.168794910115624219e+01,3.932807703176277414e+01,3.825241178716042612e+01
2.254853955471770632e+01,7.730074310362763867e+01,4.789936119875261511e+01,4.435040342149689252e+01
2.354876308701442866e+01,6.695327062956361885e+01,4.036564124931049946e+01,4.036682069315759946e+01
2.454893681425388507e+01,6.451548505665597588e+01,4.843394442139688039e+01,4.448528096047235181e+01
2.554910515750825439e+01,6.318446285175349431e+01,4.234272777777864150e+01,4.177988148183391814e+01
2.654856669018728965e+01,8.138125827879483154e+01,4.684274049482969104e+01,4.376958756948609164e+01
2.754857581816267142e+01,8.648726474222135607e+01,4.757217557203240688e+01,4.801854768838877874e+01
2.854867878187331343e+01,8.676962121079570522e+01,4.554097446499406487e+01,4.916546906756864388e+01
2.954894362733982760e+01,6.536131023470461798e+01,4.314366135568705118e+01,4.397288603183881150e+01
3.054871468558995318e+01,9.410224875561061708e+01,5.072094369034319072e+01,5.027321971561104164e+01
3.154878029252716232e+01,7.884052763476901760e+01,4.667263032123071298e+01,4.540585136029426394e+01
3.254883357006706035e+01,8.656634924138286635e+01,4.463598118685914784e+01,4.531035957140320392e+01
3.354869099167684254e+01,6.643863605508146009e+01,4.489084417560083295e+01,4.485797177231869881e+01
3.454865671650940584e+01,5.030154179540845405e+01,4.444687994954045251e+01,4.412252068931972104e+01
3.554876630635963863e+01,5.727547169909684754e+01,4.473692684590179880e+01,4.369805112921376633e+01
3.654890062171624265e+01,5.151760047941507281e+01,4.607761958582470641e+01,4.685843845248875539e+01
3.754896501592505587e+01,5.857868882059032245e+01,4.784398441948408021e+01,5.182933347152516745e+01
3.854908840983154050e+01,5.904812980069942085e+01,4.539063775796144284e+01,5.308844040053894275e+01
3.954863401770153786e+01,5.183450296952825909e+01,5.609190404480722947e+01,5.115990184693096410e+01
4.054900252148900108e+01,5.437778239044999395e+01,5.713640781560148696e+01,5.090576619923599111e+01
4.154864658187265292e+01,5.630916350123115421e+01,5.133707573330029561e+01,4.957692865845590546e+01
4.254864716450722284e+01,5.693439779448493709e+01,4.955524399462209573e+01,4.975522229744937164e+01
4.354857770983829823e+01,5.688201838660732079e+01,4.864168485867410396e+01,4.909428197354564105e+01
4.454872312889007446e+01,5.983309251105148263e+01,5.238377736951950681e+01,4.891223309656628260e+01
4.554863728428537684e+01,7.334568268396377277e+01,5.322540245755643440e+01,4.996105472044405360e+01
4.654872743575278804e+01,6.731876442366963431e+01,4.988596080744256511e+01,4.991879157113737620e+01
4.754856047913646933e+01,6.322069893922274986e+01,5.035440491261078222e+01,5.584160751489244490e+01
4.854936933895008622e+01,8.806175896393392577e+01,5.205177716170330626e+01,5.134923867629482430e+01
4.954880088623492185e+01,1.056436784715537840e+02,5.082696978458109527e+01,5.296472076514977090e+01
5.054878715474612960e+01,9.745345987576153846e+01,4.976735561372201033e+01,5.522517792393524871e+01
5.154853850570147955e+01,7.503261291808286160e+01,4.903440996938869745e+01,5.174525839734654653e+01
5.254896899395186693e+01,6.384150550171320759e+01,5.098339283830170388e+01,5.398007112516405215e+01
5.354869747414348069e+01,7.259852617016852605e+01,4.871185236406461172e+01,5.178504355108178459e+01
5.454855479168353583e+01,6.748906955178838984e+01,4.874696315463956608e+01,4.973041718529226785e+01
5.554869285668656431e+01,6.947898928814738895e+01,5.171997431653731070e+01,5.094497455046347767e+01
5.654856818142628327e+01,7.771276207356386578e+01,4.982317205775903091e+01,5.276015466665344888e+01
5.754935577725589013e+01,7.024033758042888564e+01,5.053656583174809924e+01,5.092919196846794705e+01
5.854858779958566117e+01,6.460382145896714690e+01,5.041640705928528376e+01,4.896505737064916985e+01
5.954915144295416951e+01,5.706849820564281828e+01,4.871860326102861194e+01,4.757405485321834959e+01
6.054885033659389393e+01,6.532293954235726119e+01,4.951150768179597605e+01,4.763021015004134284e+01
6.154909152036189113e+01,8.082828700386053811e+01,4.919263720139438334e+01,4.750228636072200317e+01
6.254865249354640611e+01,9.236898571024345017e+01,4.945903110578623796e+01,4.763002744705342906e+01
6.354866794027692833e+01,8.606096871249917513e+01,4.889963088428049787e+01,4.789917242577928391e+01
6.454868774870645609e+01,6.870298049140235719e+01,4.887633322309233819e+01,4.770200203151002682e+01
