# sink age [kyr],T_bol face on [K],T_bol edge on A [K],T_bol edge on B [K]
5.437640495313875988e+01,6.433648792784819648e+01,4.755650120455738517e+01,5.035879588713787314e+01
5.537589905699985593e+01,6.622824524821236025e+01,4.647175027115860502e+01,4.787030664093727239e+01
5.637682632090835710e+01,5.493748302484588208e+01,4.669377463197678679e+01,4.877834856949624509e+01
5.737629065877084145e+01,5.620452105287232314e+01,4.653999489188174010e+01,5.120220086315014640e+01
5.837725219024144252e+01,5.135058168691814018e+01,4.790786717191908650e+01,4.829962773700253109e+01
5.937614020541236215e+01,5.183505243214152358e+01,4.670724746202176902e+01,5.052013293472342070e+01
6.037608782390640272e+01,5.888633961668442396e+01,5.026489432742380359e+01,5.203427290168203712e+01
6.137616354671584418e+01,6.314067311330886412e+01,5.040656364543988843e+01,5.154076805922918680e+01
6.237602421530125696e+01,6.585727861342637368e+01,4.831262418267167646e+01,5.004663080231098604e+01
6.337604521318461082e+01,5.630676275446009527e+01,4.577431460693846077e+01,5.096665653155458386e+01
6.437619950467555441e+01,4.696865227061105230e+01,4.660692028497140171e+01,5.158864152828370919e+01
6.537618956059644404e+01,5.092216931260743706e+01,4.764263791164380990e+01,5.324056953956900173e+01
6.637645740892101287e+01,5.175809397527033440e+01,4.612953470938487754e+01,4.989990800330740228e+01
6.737616525742583917e+01,5.133967976108694842e+01,4.807081473909680369e+01,5.255538474905481650e+01
6.837600489542907667e+01,4.989702621788552506e+01,4.659242141075301902e+01,5.008403194768722955e+01
6.937609680600303363e+01,5.833183342601991939e+01,4.859401459868264084e+01,5.148322658051075251e+01
7.037609199273538252e+01,5.734457131773945093e+01,4.981261982580792136e+01,5.423251384055464541e+01
7.137589880907513873e+01,5.571562535147142370e+01,4.965910796481632872e+01,5.202447235230580702e+01
7.237612395037096746e+01,5.464197023412772580e+01,5.002679950007161125e+01,4.953231645886960877e+01
7.337649546451412164e+01,5.875735281693729917e+01,5.215018528944439424e+01,4.925349138557186990e+01
7.437588943630539973e+01,6.059457621596325794e+01,5.715122716189020480e+01,5.079262143067693103e+01
7.537613747193866232e+01,6.092256451892895797e+01,5.915652102607706553e+01,5.257464472553574808e+01
7.637600108469392524e+01,6.902432711442089897e+01,5.411762295300935932e+01,5.108428122583084985e+01
7.737597552903574183e+01,7.156124789045263412e+01,5.317542670375429026e+01,5.271767738152388461e+01
7.837627046579959256e+01,5.931241134629014766e+01,5.595194522635283363e+01,5.172134272693336499e+01
7.937616624906604557e+01,5.225739279576694685e+01,5.606611405999554165e+01,5.034209851679829484e+01
8.037613894254197078e+01,6.479112543311842387e+01,5.705139603727058528e+01,5.177239200865604829e+01
8.137603929963212579e+01,6.131901204921101112e+01,6.541838245902005156e+01,5.082771301643973771e+01
8.237647946925275733e+01,5.881403387882571110e+01,6.102309250403144603e+01,5.093429276461179001e+01
8.337597558406240239e+01,6.106866941659998815e+01,6.058238596612723370e+01,4.972474481556279358e+01
8.437666153329156771e+01,6.066361553845620591e+01,6.179303748889946490e+01,5.257510080220296800e+01
8.537646031440587535e+01,6.767038251314629349e+01,6.047352366685523606e+01,5.219224213537808765e+01
8.637596534498571543e+01,7.241072685109712381e+01,5.932688479155473971e+01,4.915303179231745645e+01
8.737602334221098488e+01,7.470383325343760816e+01,5.609416658067323169e+01,4.821584272773076663e+01
8.837600324701972454e+01,7.950929421044462231e+01,5.613150703607561809e+01,4.800135439483354105e+01
