# sink age [kyr],T_bol face on [K],T_bol edge on A [K],T_bol edge on B [K]
2.774528951251850617e-01,3.254696202313236597e+01,2.477840572604959135e+01,2.600299313884175234e+01
7.763434906737785024e-01,3.038817318351651409e+01,3.150431795023244774e+01,3.027949378664296631e+01
1.276210441865709422e+00,3.174606198559510517e+01,2.715643755839922591e+01,3.545917074758342835e+01
1.776597504975616637e+00,3.252662323679552969e+01,2.777616991698143423e+01,3.569958693574990605e+01
2.275738138543624167e+00,3.347375496568614750e+01,2.793106808546116326e+01,3.423442872853270558e+01
2.776534205860042182e+00,3.484677214967111780e+01,2.812121435187749441e+01,3.017738529329468733e+01
3.276742927599346711e+00,3.745265115600107464e+01,2.819865386334695501e+01,3.109060879594048288e+01
3.778358936294990311e+00,4.364890462033010010e+01,2.972792794113588855e+01,2.985376570910374028e+01
4.276917569330464630e+00,4.745598261094644243e+01,3.077716593310361404e+01,2.886078386377685590e+01
4.776842238415804687e+00,4.952819552890881738e+01,3.093210811941636251e+01,3.149790357610263669e+01
5.276162871348799577e+00,4.763750064899876691e+01,3.037318051145344100e+01,3.270084411057801788e+01
5.775870689103877353e+00,4.683280199900666219e+01,3.130348924750316186e+01,3.446825068464304564e+01
6.275962827061560390e+00,4.803342536051130196e+01,3.117126266914101862e+01,3.387223320700615403e+01
6.776254490616001824e+00,4.538035069468125471e+01,3.233532822731141465e+01,3.440798826386880194e+01
7.276111691728505804e+00,5.007944638678119276e+01,3.210439475931529074e+01,3.640403623440991510e+01
7.775996142142090228e+00,6.997132095982642852e+01,3.498279663707443632e+01,3.419632971047341385e+01
8.275938859403652259e+00,7.438876683272256685e+01,3.505651342397764836e+01,3.254498937959192517e+01
8.776119253168998213e+00,5.853670103360633448e+01,3.267154488613527974e+01,3.346053143271034003e+01
9.276457864070255965e+00,5.752270787891089299e+01,3.222939198818042428e+01,3.664469269888456893e+01
9.776524079531503375e+00,5.541243743230776175e+01,3.315964076916998238e+01,3.869618917681390968e+01
1.027570723825469123e+01,6.583740734083325208e+01,3.249854681328442751e+01,3.728209758947490116e+01
1.077585683649339288e+01,6.925210153808589553e+01,3.791404455860360656e+01,3.606644768145516622e+01
1.127607858151023912e+01,7.644679005966550278e+01,3.779676930980269844e+01,3.424096288309597469e+01
1.177649287471392014e+01,6.987819398064863208e+01,3.226836629308952809e+01,3.573023597853746480e+01
1.227595530768857124e+01,8.304841091156497157e+01,3.335422138382174495e+01,3.573839863365442682e+01
1.277574236690194809e+01,7.877017662856572144e+01,3.491659212304988102e+01,3.487120971721753193e+01
1.327570449892921722e+01,1.025627179028916913e+02,3.371828940841648858e+01,3.556336649796585192e+01
1.377589793049940781e+01,6.049452412635830711e+01,3.286949086886561133e+01,3.541405621580752694e+01
1.427574338585425551e+01,6.858002560810361103e+01,3.482144980790132394e+01,3.458537055208481092e+01
1.477570963141497806e+01,8.135149409988459013e+01,3.525223514508159894e+01,3.566976018351075339e+01
1.527591970110578501e+01,7.740220266050728526e+01,3.670791804180962714e+01,3.214752509916822731e+01
1.577574353396436457e+01,8.324703523530618554e+01,3.586318221793916194e+01,3.325948538817294775e+01
1.627606986049282511e+01,7.688052675482425968e+01,3.301723670651962550e+01,3.285696005739030312e+01
1.677585179279795469e+01,7.496387273375675875e+01,3.384489907937731346e+01,3.619150315481581970e+01
1.727574227198026691e+01,7.428096696422905154e+01,3.401806471867103454e+01,3.317969226792868653e+01
1.777602996980729344e+01,6.778199953139169054e+01,3.307683279054118231e+01,3.544408336926689174e+01
1.827575082652515448e+01,5.845374082574765140e+01,3.351625853362794061e+01,3.503410550614947283e+01
1.877571906952513814e+01,7.840929803659381037e+01,4.014376093902408371e+01,3.253139019003304355e+01
1.927588570389207590e+01,5.766221943906584357e+01,3.933288204349420170e+01,2.909485113014972413e+01
1.977604992920152682e+01,6.644068989007864445e+01,3.953531988615287673e+01,2.788012542120557313e+01
2.027596127564359918e+01,4.737674197391079645e+01,3.647575610363642085e+01,2.776306454557252223e+01
2.077593210950708169e+01,5.635587064347296149e+01,3.428116600025413163e+01,3.181017350051398296e+01
2.127586131494715715e+01,6.706563547682722515e+01,3.784759573805577304e+01,3.619536182201942154e+01
2.177572754679868083e+01,5.571958021880252687e+01,3.491984335579864052e+01,3.235912758645162057e+01
2.227569457910631101e+01,7.503507594013647974e+01,3.912065985615389252e+01,3.461795275541204830e+01
2.277581531037958484e+01,9.939893708456280308e+01,4.102445713776867819e+01,3.135493472811091564e+01
2.327570862250692585e+01,4.872799966894290691e+01,3.544136270742310302e+01,3.236389859121833013e+01
2.377639442173315842e+01,4.588152262831903982e+01,3.864782060103932793e+01,3.378610606227611868e+01
2.427585900302646849e+01,4.331535083340192926e+01,3.789193974681159460e+01,3.330027145030812363e+01
2.477573309163614113e+01,4.154929956476867403e+01,3.947883362246010819e+01,3.513291398836427959e+01
2.527642016736423258e+01,4.279746414683998523e+01,4.011077804171954853e+01,3.584456928229967332e+01
2.577601559944890752e+01,4.428138982326610318e+01,3.961658233692853059e+01,3.792904584107149191e+01
2.627592678580597152e+01,4.398112504748691265e+01,3.814167235180060800e+01,3.779212339720161395e+01
2.677606737333799103e+01,4.488884680761865553e+01,3.885095922195943530e+01,3.804698634346260633e+01
2.727569326293738072e+01,4.404374704360897397e+01,3.914350895138046837e+01,4.023537578501458967e+01
2.777625397295629384e+01,4.512337903991730315e+01,3.768058624146397761e+01,4.077563066724172103e+01
2.827574519584038271e+01,4.397502094756085000e+01,3.717949343692009734e+01,4.093327425256055108e+01
2.877698562395220705e+01,4.561973407123358726e+01,3.908105971500831544e+01,4.349455689736647912e+01
2.927764158002734263e+01,4.469606155046144380e+01,4.464274140382576661e+01,4.609247922650020968e+01
2.977619953276424170e+01,4.595765257555793681e+01,3.946932428804797865e+01,4.496642415612070920e+01
3.027646508146934679e+01,4.515404100627696948e+01,3.991943321616261642e+01,4.616150072217178746e+01
3.077575445817052824e+01,4.551865648326820235e+01,3.954474926610417640e+01,4.594461238045131779e+01
3.127589199713487034e+01,4.460610511106239073e+01,3.830567945441931244e+01,4.531168556605632602e+01
3.177600592424996151e+01,4.709981641157772714e+01,3.845876016814415976e+01,4.617182739447710560e+01
3.227610188665690316e+01,4.998603089254812204e+01,4.018788797794701395e+01,4.945995489349107999e+01
3.277622493590614283e+01,4.712709038674795181e+01,4.031072288092256173e+01,4.884473991344890464e+01
3.327582731214377532e+01,4.320789132531767507e+01,4.792508096783686966e+01,5.115767698209155157e+01
3.377680814944536536e+01,4.170512210543904530e+01,4.620621134029586585e+01,4.988120119248811335e+01
3.427598786604649916e+01,4.604269189788166727e+01,4.770366298894514046e+01,5.114812357363943818e+01
3.477591996510759031e+01,4.890397466291292972e+01,4.553255289058104438e+01,4.817850892403647833e+01
3.527576713608839043e+01,5.445689344724583236e+01,4.819678136037413196e+01,5.277834321242611537e+01
3.577617082538731808e+01,4.619279446107586296e+01,4.696469240719392957e+01,4.736630268926562337e+01
3.627607822952128203e+01,4.615072077454320976e+01,4.574041330086542700e+01,4.909550510303802184e+01
3.677600911250560500e+01,4.443938725294955816e+01,4.470017214084692370e+01,4.717465121628907099e+01
3.727582709279994333e+01,4.706154764122755552e+01,4.624815426891090198e+01,4.975549944749162989e+01
3.777606518924628176e+01,4.854363888766883406e+01,4.315040426838125853e+01,4.634040801253278374e+01
3.827598211915248783e+01,4.590007542404713092e+01,4.277656349017837556e+01,4.446057828310048876e+01
3.877597357252030008e+01,4.608601686279649101e+01,4.449347539074886271e+01,4.521012637148228919e+01
3.927623795019244568e+01,4.860660760485627208e+01,4.403236334309526967e+01,4.747772129411892195e+01
3.977613144765751230e+01,4.478086843911825810e+01,4.415304295449969629e+01,4.753673115340117050e+01
4.027617392465374024e+01,4.609812795202694957e+01,4.490606523487350188e+01,4.754822619802283867e+01
4.077573697528941921e+01,4.805189237845834072e+01,4.437658604046401223e+01,4.703340805245110801e+01
4.127571902922090885e+01,4.513749902600317654e+01,4.291523725191953531e+01,4.609848438306151763e+01
4.177581731746332139e+01,4.692362087681635785e+01,4.238369557870053228e+01,4.725182851178603727e+01
4.227589990049764879e+01,4.692638521746224001e+01,4.293947560094348859e+01,4.799038334284653473e+01
4.277569430962496710e+01,4.895677681626654731e+01,4.223565321296518960e+01,4.769839715378378031e+01
4.327594783109201870e+01,4.696081019813421165e+01,4.229408113547923165e+01,4.845793228101102557e+01
4.377602480453622746e+01,5.028992985393992399e+01,4.295358451616171891e+01,5.033982865107810056e+01
4.427573580685886867e+01,5.027578893605671340e+01,4.363551290418092066e+01,4.951726822721236942e+01
4.477571093791451062e+01,5.581776419038394010e+01,4.247221864089178922e+01,4.766358241172547849e+01
4.527570667188701492e+01,5.578590320447489859e+01,4.333055766461986025e+01,4.834068159982601998e+01
4.577576637715208818e+01,6.768384236089943329e+01,4.532367452553786791e+01,5.090263346424069368e+01
4.627574983970140465e+01,6.335033786642811293e+01,4.331463917040520073e+01,5.050826782744120180e+01
4.677580987650843269e+01,5.739994953145555456e+01,4.126147640437259412e+01,4.875668202838927812e+01
4.727581204437859697e+01,5.759563636286002009e+01,4.228087159065083256e+01,5.242239544716916555e+01
4.777586801259948146e+01,6.225251393976588332e+01,4.386174331222049716e+01,5.229774942461018128e+01
4.827577018041930046e+01,5.808910428696798078e+01,4.196887413895225194e+01,5.035470353862326931e+01
4.877597373036576300e+01,5.226731210818579854e+01,4.207370449660859890e+01,4.900115027106140531e+01
4.927569958126316152e+01,5.058738747259732804e+01,4.231013189711985234e+01,4.821989247748091856e+01
4.977576755464406943e+01,6.023296484161548392e+01,4.201176966960693449e+01,4.776556332813717631e+01
5.027581181127612808e+01,6.514847997186016926e+01,4.205137203827003844e+01,4.736149525535806504e+01
5.077583465402904750e+01,6.383175745494391151e+01,4.318134484718891031e+01,4.928978631836398705e+01
5.127578969001557851e+01,6.202023019407048565e+01,4.325041975265128258e+01,5.016053851263441032e+01
5.177592639161179733e+01,6.880143132051277632e+01,4.345917465277536706e+01,5.028057738637184571e+01
5.227660520607037142e+01,6.339298433407735445e+01,4.101959638518528095e+01,4.947989426719801287e+01
5.277601339306647077e+01,6.641087186940316656e+01,4.336417180629545953e+01,5.048074770519886556e+01
5.327622169949179209e+01,6.161553684437354406e+01,4.248474476293259983e+01,5.047078947585867326e+01
5.377619034014719546e+01,6.332443951705177199e+01,4.266259826016008105e+01,4.984027795041712494e+01
5.427634598589875026e+01,6.482374138694353860e+01,4.351704058382035356e+01,5.094907063985530726e+01
5.477571776306912454e+01,6.127719987887503095e+01,4.179530600716004329e+01,4.782605141558461526e+01
5.527572945335352017e+01,6.601315633342142064e+01,4.542239731322981555e+01,5.087098578407358218e+01
5.577595318547019332e+01,7.185437961980279908e+01,4.544971660603385288e+01,5.398315987765404600e+01
5.627574156592528709e+01,7.548969481097394407e+01,4.765351899749261833e+01,5.999276316719187463e+01
5.677576193791223602e+01,7.866751687979935070e+01,4.690153476479704153e+01,5.634501904819041584e+01
5.727583283829656580e+01,6.871154352503461382e+01,4.730188813588306829e+01,5.433437921816004490e+01
5.777597614672858128e+01,6.717341448164533801e+01,5.061559986105326914e+01,5.546108516539479893e+01
5.827577145722909080e+01,6.541792433159450582e+01,4.880078285671067562e+01,5.655600132972865168e+01
5.877621528570245601e+01,6.446142852237849752e+01,4.783461164510436703e+01,5.319592972950339771e+01
5.927585304258516885e+01,6.887486591017750470e+01,4.646862402690530303e+01,5.353406788634853086e+01
5.977633587125563253e+01,7.620711204664553406e+01,4.986410253537026449e+01,5.617834164251869566e+01
6.027572598075070687e+01,5.817676012240429628e+01,5.032269784498580378e+01,5.258462582403473817e+01
6.077572034401339351e+01,5.428587345615090953e+01,5.161595344807928143e+01,5.314407198165805823e+01
6.127579944839752812e+01,5.113666950787899168e+01,5.262218232119630557e+01,5.485959283888317373e+01
6.177576489647146474e+01,4.998965556646205499e+01,5.274555027063374979e+01,5.615995605103716315e+01
6.227583428897850126e+01,5.022801277346819404e+01,5.414815572282406464e+01,5.688035798334371407e+01
