# sink age [kyr],T_bol face on [K],T_bol edge on A [K],T_bol edge on B [K]
7.904879592331549576e-01,3.193408086501128551e+01,3.064053062149317341e+01,2.940526886240443361e+01
1.788441399578504010e+00,3.663253351491426457e+01,2.983696286024674649e+01,3.265285177237623060e+01
2.788379124616198634e+00,4.195627764643987234e+01,2.968922941839899110e+01,3.435332280545026151e+01
3.790709457009388661e+00,4.150977817475214948e+01,2.884943800391486590e+01,3.508480923328628620e+01
4.788911785425328027e+00,3.901307165043857594e+01,3.388741602861271929e+01,3.724691785120056409e+01
5.790088630112228962e+00,4.650676071912393894e+01,3.303556921998530527e+01,4.141187982419140923e+01
6.788694123038029105e+00,3.794380713953906792e+01,3.328079124198148975e+01,3.725513316076719406e+01
7.788625440111055731e+00,5.276843333191442298e+01,3.506469715862336756e+01,4.159766925907533874e+01
8.788540214757444957e+00,5.394000053040041109e+01,3.877997384071888121e+01,4.608540583737627117e+01
9.789309877944161187e+00,5.226766270135194503e+01,4.057739322978174812e+01,5.092141975401880671e+01
1.078843587613967969e+01,4.610103383817043010e+01,4.644547809389326432e+01,5.159171941457822896e+01
1.178930112847983480e+01,5.872495745931478695e+01,4.389206482808086918e+01,4.788609526811961814e+01
1.278939641406365801e+01,5.540779487868930175e+01,4.455678281425889509e+01,4.605452555652577473e+01
1.378868248907825844e+01,4.993195415274824711e+01,4.858542838253647034e+01,4.666353088488695988e+01
1.478967940314795193e+01,6.141275663121465556e+01,4.927478290156785334e+01,4.986131659213822331e+01
1.578880630754139425e+01,5.704173589012999201e+01,4.850025426658142180e+01,4.901087691108516964e+01
1.678962148535267218e+01,6.069111734339802666e+01,4.509066681033737467e+01,4.608220326285425728e+01
1.778854243820769199e+01,5.055104965348103718e+01,4.147598410310146733e+01,4.528280951919888508e+01
1.878877203498106851e+01,5.081126425823310200e+01,4.358560401510159465e+01,4.309915721115048370e+01
1.978989915752876172e+01,4.552328369459146984e+01,4.440573960246629781e+01,4.317598740450709016e+01
2.078904234246655491e+01,4.871275648534197700e+01,4.511539659405205072e+01,4.212252999708493206e+01
2.178962661863156214e+01,5.778707591623469852e+01,4.749864869921256627e+01,4.220955995744740363e+01
2.278879679527734226e+01,5.296909979689679204e+01,4.426064476231413636e+01,4.143020949299423705e+01
2.379048296221034775e+01,5.564362671828634177e+01,4.603850852052723752e+01,4.017918173844041974e+01
2.478837594455979954e+01,1.009383470731479093e+02,4.812989483525728218e+01,4.494551584410722000e+01
2.578839692806542061e+01,9.028352966008594649e+01,4.797936901771326035e+01,4.137574217324838344e+01
