# sink age [kyr],T_bol face on [K],T_bol edge on A [K],T_bol edge on B [K]
3.304940708858037368e-01,4.525908338766019057e+01,2.456874812588316814e+01,4.146791585514753820e+01
1.332308876484266325e+00,5.035393194485905610e+01,2.791591954161092914e+01,4.593625575033742336e+01
2.330089141766119365e+00,4.737913216819023177e+01,3.143430063400636598e+01,4.070213046957444902e+01
3.330488782377800216e+00,5.365212402238574896e+01,3.542717176604632812e+01,4.471615250505783479e+01
4.330828299126423531e+00,5.605111455311644875e+01,3.728282542040496139e+01,4.326205207612564863e+01
5.330448082304478419e+00,5.172542409882902348e+01,4.925680787638143698e+01,5.527055139858988042e+01
6.331921934324672208e+00,4.832869022181476026e+01,3.513669525862092513e+01,5.593939887436756919e+01
7.330246015791733072e+00,5.313011299882074923e+01,3.852633004052049159e+01,4.042237263153326410e+01
8.331201803520199789e+00,4.810095300044348932e+01,5.663369199882385630e+01,4.143721227264211393e+01
9.330678324194622064e+00,5.723355994518887258e+01,5.548282083003238796e+01,4.584698851685994470e+01
1.033062447338520151e+01,6.497777419012996347e+01,5.442751644720708981e+01,4.132087295356019752e+01
1.133006863504568429e+01,7.352829953439307076e+01,4.715940380817607291e+01,4.467704422765475414e+01
1.233136868449615342e+01,6.510626020718598284e+01,4.833677711987061087e+01,4.637494174274309700e+01
1.333114398136122603e+01,7.167016526282624511e+01,4.695006153520802172e+01,4.754237209397096819e+01
1.433020909790489128e+01,6.745438678011703360e+01,4.461046263432858439e+01,4.675278626980201579e+01
1.533024082763074070e+01,7.397289261753451228e+01,4.602278632094418498e+01,4.092427788364437902e+01
1.633092765672438418e+01,7.399483975625240362e+01,4.690519467391665387e+01,4.186216878183725498e+01
1.733012777011164474e+01,6.305398157599036324e+01,4.458236488685255949e+01,5.248970158187817958e+01
1.833054745495893201e+01,5.349012319946891836e+01,5.056242363293921471e+01,6.162617076184670140e+01
1.933006934836219060e+01,6.302023789896473716e+01,4.409049670319831904e+01,5.403992253160622283e+01
2.033011556764392935e+01,5.113813786187972710e+01,4.490419272050550603e+01,5.639882755505089307e+01
2.133028999398881709e+01,4.237819313294807699e+01,5.071887199108785893e+01,5.680795781383133658e+01
2.233025503937677314e+01,3.825826108268105230e+01,4.281450579111807286e+01,5.579215233579718358e+01
2.333018909208457004e+01,4.123597367790855373e+01,5.384111011778731637e+01,5.940169540524097869e+01
2.433046307290020849e+01,8.203727891587060128e+01,5.135711910643525613e+01,5.280203407810684268e+01
2.533053988731284534e+01,6.030333475101380003e+01,5.370811789732170638e+01,4.332151202051819183e+01
2.633090795233806958e+01,4.364550975555631851e+01,5.707751306662350999e+01,6.292667094991428201e+01
2.733026106494867591e+01,4.551787161717646057e+01,5.497606347653739789e+01,6.180863305408725239e+01
2.833033052786967332e+01,5.208705937311329137e+01,5.555808380191844265e+01,5.112571112613254343e+01
2.933094408019631416e+01,4.532234633861991568e+01,4.842658521622512069e+01,5.202856445624173176e+01
3.033112721711020043e+01,5.129539617675241914e+01,5.470609732924121715e+01,5.858622882802985998e+01
3.133004783400380688e+01,5.480102269318601316e+01,5.495335587979604952e+01,4.492902598917469703e+01
3.233071812589118821e+01,5.803352080858789463e+01,5.514268176158441293e+01,4.506571531335398362e+01
3.333035022215891274e+01,7.033418247794045897e+01,5.233166898085455898e+01,4.597025786326985752e+01
3.433038800370129451e+01,6.764378470330206028e+01,4.742665879057695832e+01,4.549521304002061584e+01
3.533030230245421421e+01,6.678506939002630816e+01,5.090607521035190786e+01,4.651536375240594623e+01
3.633216122066448150e+01,5.855092777853516850e+01,5.036908269370635338e+01,4.624946163560723278e+01
3.733074268917714988e+01,6.414913322514982497e+01,5.313879584315196780e+01,4.727551288232029947e+01
