# sink age [kyr],T_bol face on [K],T_bol edge on A [K],T_bol edge on B [K]
6.616103945464671954e-01,4.058952045683855658e+01,4.083418259454833077e+01,3.834624368477768286e+01
1.661527868999073787e+00,3.712003805843744431e+01,3.900640938904582811e+01,3.141419975692270228e+01
2.661851301647630397e+00,3.480418493060603424e+01,3.600562672673849107e+01,3.300930729271516384e+01
3.661907155673288283e+00,3.012064831798197417e+01,3.234316339947565666e+01,2.899068420867713414e+01
4.662095276895279916e+00,3.362100474630416613e+01,3.593562840422397642e+01,3.280209143411317996e+01
5.661632368913307900e+00,4.245100229317279172e+01,3.917700493956845520e+01,3.418544080073891678e+01
6.661786484807681319e+00,3.772445229099810859e+01,3.909498722282393146e+01,3.443468562225574203e+01
7.661683097766093908e+00,3.478165579989008194e+01,3.604473451288672692e+01,3.054434012160724876e+01
8.661561754411414071e+00,3.693076528955209881e+01,4.105352753783341058e+01,3.943776009533235793e+01
9.661375599385396029e+00,3.325337176281794171e+01,3.953721732652267917e+01,3.819266368822058411e+01
1.066147281049567042e+01,3.432213193846864385e+01,3.955002497800357730e+01,3.778862987712729904e+01
1.166136816062554260e+01,3.634945677849160006e+01,3.882808090662287981e+01,3.515453610965197129e+01
1.266234016564113851e+01,4.025402357538241915e+01,3.772418379400734523e+01,3.573246616685073462e+01
1.366146353708189309e+01,4.438681799824484386e+01,4.416037184690921436e+01,4.064574029720041182e+01
1.466225615305781282e+01,4.845291971945928822e+01,3.940043930408040040e+01,3.800724073889849564e+01
1.566183728606431735e+01,4.404768128438451669e+01,4.191285411433595698e+01,3.733445869072902923e+01
1.666168852084193119e+01,4.892668883871891694e+01,3.982601931854731703e+01,3.996298758516918070e+01
1.766188573481538171e+01,5.527144944866300591e+01,3.805602263730374801e+01,4.081925006909471421e+01
1.866141444809101557e+01,5.584060734983040675e+01,3.578502582413314315e+01,3.875027539583297909e+01
1.966286451203816910e+01,5.084392737025679310e+01,3.526401012793218115e+01,3.842473199328350830e+01
2.066139456312679812e+01,4.857326369102438690e+01,1.880607445905321811e+02,3.847100557475680205e+01
2.166158277196614179e+01,4.907934375103410929e+01,3.658436093858095006e+01,3.651187101241945498e+01
2.266147234411267064e+01,4.710606277008659504e+01,3.717929759734096962e+01,3.653298945701200040e+01
2.366142775004776411e+01,4.159359386302011075e+01,3.824504885450873815e+01,3.607947765856879840e+01
