# sink age [kyr],T_bol face on [K],T_bol edge on A [K],T_bol edge on B [K]
7.454595513660118300e-01,3.351434562199518297e+01,2.712050201332933597e+01,2.827102521097951637e+01
1.743192201358639837e+00,3.739401069104480513e+01,2.594730698546212011e+01,2.847397703975947181e+01
2.743924905007585124e+00,3.778970883862835706e+01,2.875477897079164791e+01,3.182332561613235455e+01
3.744837182252319430e+00,3.927447886091531615e+01,2.902651209306470292e+01,3.184023537960611350e+01
4.743611029149778169e+00,4.261332499279156849e+01,3.133214913553230474e+01,3.301268555084539003e+01
5.742035574609763771e+00,4.767749227167095682e+01,3.135895873596183492e+01,3.218156927257091837e+01
6.742055583203449665e+00,4.803027426484667473e+01,3.163515894234711112e+01,3.283205721529366627e+01
7.741345366612910617e+00,5.344210099673264125e+01,3.109452558192581861e+01,3.177142255116055125e+01
8.741850001642641033e+00,5.877696659150020508e+01,3.222972302845030868e+01,3.244487474730081544e+01
9.741877316076234194e+00,4.763245624107622689e+01,3.150615833210370198e+01,3.298198701220975693e+01
1.074329522916338853e+01,4.461081214638739567e+01,3.057117842876349201e+01,3.458229589498774459e+01
1.174334240180010092e+01,5.148629900055863828e+01,3.074248139149820958e+01,4.132666490340166376e+01
1.274165418040594666e+01,5.499020976418206175e+01,3.236625697858074346e+01,4.346161078070434769e+01
1.374153353832783075e+01,4.848597989228579053e+01,3.669812082895887073e+01,4.459577773193093719e+01
1.474141709529211219e+01,4.797668896028935848e+01,4.023407685171885362e+01,4.414977001598044382e+01
1.574211082163737885e+01,3.904975193537968892e+01,4.386710582396431590e+01,4.655311994613401794e+01
1.674158909366498449e+01,3.744985814546162572e+01,4.270447939456741437e+01,4.861534581150417722e+01
1.774235122918935659e+01,3.776308680920460858e+01,4.076248726017890789e+01,4.968746941766282532e+01
1.874190853169884718e+01,4.591519962512781206e+01,4.246093461119403401e+01,4.944245274950013425e+01
1.974158851369718448e+01,4.282346587807962379e+01,4.300784061928948887e+01,4.946311338984808259e+01
2.074178497136786348e+01,4.447368570026589651e+01,4.336996836114047937e+01,4.905737709745891095e+01
2.174379039701170058e+01,4.394763534808807748e+01,4.195413221552158234e+01,4.972985241589705652e+01
2.274172642445007142e+01,4.422987903376446894e+01,4.403277242713933504e+01,5.000040607398532444e+01
2.374180894821888899e+01,4.274401974926359316e+01,4.275236215862317124e+01,5.015590274145868932e+01
2.474185849540169357e+01,4.254124978275191182e+01,4.268074164824083994e+01,5.117321213659862877e+01
2.574136579962291549e+01,3.945829524297896995e+01,4.210822434456805752e+01,4.879601028310291611e+01
2.674133759662277399e+01,4.096083425825109714e+01,4.212087714191333276e+01,4.819300117983095788e+01
2.774157347086596204e+01,4.439384817214753554e+01,4.353759796164221996e+01,4.974612953563347872e+01
2.874232947723315945e+01,5.334852108408487936e+01,4.192855626222907972e+01,5.381924804429523590e+01
2.974137389705729362e+01,5.138591834723909813e+01,4.043726143613731239e+01,5.080388354068114865e+01
3.074331457070222839e+01,5.677203455833917189e+01,4.586672642437869030e+01,5.727363908832917616e+01
3.174143395644422583e+01,6.078785232962885487e+01,4.410781857156984387e+01,5.369213894445315560e+01
3.274212165257334561e+01,5.611615670656160404e+01,4.491338405635951858e+01,5.257878632511051364e+01
3.374300704811907536e+01,6.335644539988965107e+01,4.527065939970968600e+01,5.333612807277356893e+01
3.474159712323233862e+01,5.460974674924393923e+01,4.407659005709006550e+01,5.251916882589128477e+01
3.574156178128982475e+01,5.712557686402595891e+01,4.423098458769226227e+01,5.154863715130240109e+01
3.674210741752139597e+01,6.292965300810778473e+01,4.495687468202306292e+01,5.220633971457689171e+01
3.774134893829123172e+01,7.715021614090029800e+01,4.224056833695225066e+01,4.565373516243725760e+01
3.874145332439434952e+01,6.670590122178569459e+01,4.125015155298874703e+01,4.480666652861841470e+01
3.974184374128207509e+01,5.571951396614664276e+01,4.132459097183718200e+01,4.693216167695798902e+01
4.074147284838438310e+01,5.152064024558280408e+01,4.125567584304067026e+01,5.318212677621017548e+01
4.174256899061771975e+01,6.034347680089403809e+01,3.883742149547060052e+01,4.906070189610800014e+01
4.274143257110821281e+01,6.195243271841314936e+01,4.167568887902538677e+01,4.871563718887376382e+01
4.374136601300822491e+01,5.900950142035360102e+01,4.088520088129886432e+01,4.956230738289586668e+01
4.474141011834277748e+01,5.643318361870041855e+01,4.128730103171685784e+01,4.820982513253498070e+01
4.574133632743020428e+01,5.190385014980219580e+01,3.898156205827183385e+01,4.607006323549570936e+01
4.674162542613782279e+01,5.839059950386236864e+01,3.769083917301647091e+01,4.731525249493060414e+01
4.774161697231605217e+01,5.406633196531789309e+01,3.838329209523238461e+01,4.839578269894426654e+01
4.874162954280429005e+01,5.763630119618598258e+01,3.818814188882418392e+01,4.975151004103416597e+01
4.974170268457341848e+01,5.992910474224741080e+01,3.840392581132667260e+01,4.763250265802123096e+01
5.074226160252959517e+01,6.550441608970422180e+01,3.803531878938233746e+01,5.109873425539461778e+01
5.174193801147679039e+01,6.343162525534560814e+01,4.000958479173074522e+01,5.513413436188497485e+01
5.274152034067729033e+01,5.426496911628937170e+01,3.995311625597589966e+01,5.035396145426719272e+01
5.374140935188941626e+01,6.015726557851502321e+01,3.973061477989623569e+01,5.000666352399678516e+01
5.474141651445218315e+01,6.354650922566717952e+01,4.229471460059931331e+01,5.293004089325369677e+01
5.574143366692276658e+01,6.812108480946184841e+01,4.745616917987484840e+01,5.443560233872887011e+01
5.674210282852698128e+01,6.608741736832600111e+01,4.859160320628558338e+01,5.397085267319357627e+01
5.774142241783568608e+01,5.973005461861809806e+01,4.790764606809252513e+01,5.332413948346253108e+01
5.874157181968963926e+01,5.792595268906111983e+01,4.809797182439265839e+01,5.224675881027619795e+01
5.974271213933111113e+01,6.394872459963394107e+01,5.123005967213109813e+01,5.334774490540139169e+01
6.074141768521539575e+01,6.152539312145719919e+01,5.353647327525955291e+01,5.208375922612889752e+01
6.174224129272320027e+01,5.557882164654252932e+01,5.139498040762286024e+01,5.291456963665574875e+01
6.274160577542722450e+01,8.373974431713043032e+01,5.358243481378945461e+01,5.173998073438116307e+01
6.374252459781858704e+01,6.575983172797826626e+01,4.795945273757407534e+01,5.167000123467702366e+01
6.474174626948959599e+01,4.920069270378113657e+01,4.927074547502434143e+01,5.390188602688990471e+01
6.574183415608700898e+01,5.125712221131570345e+01,4.691650011013816624e+01,5.145378218308825069e+01
6.674185174156872336e+01,4.095987273760017189e+01,4.293606801784758886e+01,4.774286149998024342e+01
6.774149810065350152e+01,4.367558874706181626e+01,4.644483633882389029e+01,4.963541758864172238e+01
6.874138375964301417e+01,3.822704960837360488e+01,4.610522633759351407e+01,5.062554118195639319e+01
6.974245221796232386e+01,4.616407909925160880e+01,4.356058599208100901e+01,5.133334059934125548e+01
7.074280562329187205e+01,5.214196544127186428e+01,4.425004349179270235e+01,5.209296902836814525e+01
7.174405647944334419e+01,4.801943627819832727e+01,4.281392904163433855e+01,5.185767305389536119e+01
7.274211586923107120e+01,6.144637050221529506e+01,4.387570326073294780e+01,5.287954112450800892e+01
7.374163720673696787e+01,5.972200564871447170e+01,4.587716300846704343e+01,5.656779503874571446e+01
7.474328543668725899e+01,5.831634854989382433e+01,4.961425161116135740e+01,5.495745876908345195e+01
7.574161439498162451e+01,5.609058207258101447e+01,4.806061835270981675e+01,5.798348505507360073e+01
7.674237643577214385e+01,5.190705708687379882e+01,5.103302038503363036e+01,5.867897278173194309e+01
7.774271901318405753e+01,5.518640352805952176e+01,5.762757933425527312e+01,5.866586258852576208e+01
7.874272078232937133e+01,4.852207530663831392e+01,5.375162474676470481e+01,5.511443543220660501e+01
7.974209378071168430e+01,4.361195754264742419e+01,5.745228580888738890e+01,5.741472458422449421e+01
8.074247849165912783e+01,4.845993705249929917e+01,5.357288305002217754e+01,5.696475895242976151e+01
8.174180270404252724e+01,5.418873534185777885e+01,4.719707967918158431e+01,5.498694112111289911e+01
8.274269656456813493e+01,4.878696390639035485e+01,4.418870133993495131e+01,5.173521901042437321e+01
8.374213871658274400e+01,5.314525362924567276e+01,4.677760282006035908e+01,4.901186638189722089e+01
8.474147119237785830e+01,5.827050853666406027e+01,4.396952793985290242e+01,5.056727113946029561e+01
8.574198044662247753e+01,4.693475857022460218e+01,4.078368602471541493e+01,4.676360051034939858e+01
